train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.8331557574800943,0.00306043381338979,0.7999649778007247,0.004333596787540134
8281,0.8388710202465729,0.003353328856246582,0.8047538824880034,0.0039117680910828135
12422,0.8357027986790732,0.0024792158460597755,0.8062508290247308,0.0031973285366011556
16563,0.8346184014860439,0.001634986563618807,0.8074638938856339,0.0033846484864790967
20704,0.8341200283661936,0.0024065251419684054,0.8082367844419125,0.003253893209486691
24845,0.8327548430500216,0.0010841190246045941,0.8084747463188799,0.003746462544778377
28986,0.8318472008638423,0.00040166532058879016,0.8086800721616928,0.00320541664358688
33127,0.8317880694942398,0.0008640728689692024,0.8091952850322162,0.002982738884570973
37268,0.8315182067916052,0.000995209789990095,0.8094792813064648,0.003041054605891295
41409,0.8312564987180225,0.0008067154306341014,0.8102048414189973,0.0035411217897154167
