metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8113699582753825,0.8110316411682893,0.005382694891467711,0.8005867524339361,0.8214534075104312,0.95,1000,1000,0
balanced_accuracy,0.8113699582753825,0.8110421159817346,0.005295730490855958,0.800330364341696,0.8215223916129665,0.95,1000,1000,0
f1_weighted,0.8107879994092848,0.8104483837138409,0.005410594270524954,0.7997360893181363,0.8208661077096701,0.95,1000,1000,0
f1_macro,0.8107879994092848,0.8104249730316906,0.005388953774804854,0.7997370860233819,0.8208190884564883,0.95,1000,1000,0
precision_weighted,0.8152483929781269,0.8149724132808691,0.005243027942221943,0.8048512999220766,0.8253399082062387,0.95,1000,1000,0
recall_weighted,0.8113699582753825,0.8110316411682893,0.005382694891467711,0.8005867524339361,0.8214534075104312,0.95,1000,1000,0
sensitivity,0.8668289290681502,0.8665524375100438,0.006335025785707235,0.8540645672555259,0.8787883974977436,0.95,1000,1000,0
specificity,0.7559109874826148,0.7555317944534253,0.008125618603027303,0.7397145797383667,0.7711852297008547,0.95,1000,1000,0
