feature,dtype,feature_type,missing_count,missing_rate,n_unique,is_applicability_indicator,mean,std,min,median,max,top_value,top_value_share
retail_outlet_quantity,float64,numeric,55756,0.9694335292276663,5,False,2.6496018202502842,1.028383395547597,1.0,3.0,5.0,,
retail_quality_variety,float64,numeric,55757,0.9694509162986403,5,False,2.5731360273192943,1.0241536370391497,1.0,3.0,5.0,,
retail_price_quality,float64,numeric,55763,0.9695552387244845,5,False,2.049114791547687,0.9276009388053214,1.0,2.0,5.0,,
parking,float64,numeric,56226,0.9776054525854575,5,False,3.6319875776397517,1.16726994452384,1.0,4.0,5.0,,
parking_facility_quality,float64,numeric,57020,0.9914107869388323,5,False,2.8299595141700404,1.0731052920993398,1.0,3.0,5.0,,
parking_space_availability_ease,float64,numeric,57019,0.9913933998678582,5,False,2.7454545454545456,1.2271616247642665,1.0,3.0,5.0,,
parking_terminal_access_ease,float64,numeric,57019,0.9913933998678582,5,False,3.404040404040404,1.0771757185940376,1.0,4.0,5.0,,
parking_value_for_money,float64,numeric,57029,0.9915672705775985,5,False,2.406185567010309,1.1161672940485468,1.0,2.0,5.0,,
location_and_movement,float64,numeric,216,0.0037556073303891225,5,False,3.9747984222835004,0.9966837600663173,1.0,4.0,5.0,,
signage,float64,numeric,43026,0.7480961157283444,5,False,2.9892324682495857,0.9359379585707426,1.0,3.0,5.0,,
flight_information_display_availability,float64,numeric,49332,0.8577389852905379,5,False,3.190540210217551,1.008941070813788,1.0,3.0,5.0,,
terminal_accessibility,float64,numeric,57237,0.9951837813401955,5,False,3.0072202166064983,1.080099229819406,1.0,3.0,5.0,,
boarding_lounge_comfort,float64,numeric,24274,0.4220537608234517,5,False,3.616756919374248,1.0720440522154147,1.0,4.0,5.0,,
thermal_comfort,float64,numeric,43917,0.7635879959661995,5,False,3.2901375303375744,1.0652584105423046,1.0,3.0,5.0,,
acoustic_comfort,float64,numeric,43951,0.7641791563793163,5,False,3.2351249723512496,1.0252377319229675,1.0,3.0,5.0,,
seat_availability,float64,numeric,43927,0.7637618666759398,5,False,3.2447928166629865,1.1320127646979288,1.0,3.0,5.0,,
reserved_seat_availability,float64,numeric,57152,0.9937058803074034,5,False,3.3011049723756907,1.234521404020002,1.0,3.0,5.0,,
power_outlet_availability,float64,numeric,33397,0.58067600931947,5,False,3.394327652693121,1.240688389765111,1.0,4.0,5.0,,
airport_internet,float64,numeric,49363,0.8582779844907327,5,False,3.9970555760029445,1.104254423749822,1.0,4.0,5.0,,
internet_connection_speed,float64,numeric,55627,0.9671905970720173,5,False,2.534181240063593,1.0378686941552266,1.0,3.0,5.0,,
network_access_ease,float64,numeric,55595,0.9666342108008484,5,False,3.1323606044815007,1.2271648119694545,1.0,3.0,5.0,,
restrooms,float64,numeric,34864,0.6061828424383628,5,False,3.785077262693157,1.130961715217987,1.0,4.0,5.0,,
restroom_quantity,float64,numeric,50208,0.8729700594637827,5,False,2.991787571858746,1.0303742436810408,1.0,3.0,5.0,,
restroom_cleanliness,float64,numeric,49976,0.8689362589978092,5,False,2.7292385248076414,1.041170271974658,1.0,3.0,5.0,,
restroom_maintenance,float64,numeric,50056,0.8703272246757311,5,False,2.801689460981496,0.9873613765840306,1.0,3.0,5.0,,
overall_airport_cleanliness,float64,numeric,24303,0.42255798588169835,5,False,4.163198940110204,0.8199459765953241,1.0,4.0,5.0,,
baggage_claim_process,float64,numeric,40607,0.7060367910421811,5,False,3.844916306855149,1.1906654807428756,1.0,4.0,5.0,,
baggage_carousel_identification_ease,float64,numeric,52596,0.9144903849497513,5,False,3.3940626270841805,1.1123858153987571,1.0,4.0,5.0,,
baggage_claim_time,float64,numeric,52615,0.9148207392982578,5,False,2.7238211879975505,1.2447792213046827,1.0,3.0,5.0,,
baggage_integrity,float64,numeric,53024,0.9219320513266335,5,False,3.0296213808463253,1.3609992951457641,1.0,3.0,5.0,,
disembarkation_method_rating_is_applicable,int64,numeric,0,0.0,2,True,0.010553952081232396,0.10218976340855117,0.0,0.0,1.0,,
curbside_dropoff_ease_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
transport_options_to_airport_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
checkin_process_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
checkin_queue_wait_time_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
checkin_queue_organization_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
self_service_kiosk_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
checkin_counter_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
staff_courtesy_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
checkin_service_time_is_applicable,int64,numeric,0,0.0,2,True,0.032305177869736065,0.1768109072111744,0.0,0.0,1.0,,
ticket_purchase_process_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
airline_service_is_applicable,int64,numeric,0,0.0,2,True,0.03159230795980109,0.1749135957864394,0.0,0.0,1.0,,
security_screening_process_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
security_queue_wait_time_is_applicable,int64,numeric,0,0.0,2,True,0.04986611955350002,0.21767019428265616,0.0,0.0,1.0,,
security_queue_organization_is_applicable,int64,numeric,0,0.0,2,True,0.04986611955350002,0.21767019428265616,0.0,0.0,1.0,,
security_staff_service_is_applicable,int64,numeric,0,0.0,2,True,0.04986611955350002,0.21767019428265616,0.0,0.0,1.0,,
immigration_queue_wait_time_is_applicable,int64,numeric,0,0.0,2,True,0.011614563410647842,0.10714413156423534,0.0,0.0,1.0,,
immigration_queue_organization_is_applicable,int64,numeric,0,0.0,2,True,0.011614563410647842,0.10714413156423534,0.0,0.0,1.0,,
immigration_staff_service_is_applicable,int64,numeric,0,0.0,2,True,0.011614563410647842,0.10714413156423534,0.0,0.0,1.0,,
service_window_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.011614563410647842,0.10714413156423534,0.0,0.0,1.0,,
customs_control_is_applicable,int64,numeric,0,0.0,2,True,0.42130611677156865,0.4937727330569114,0.0,0.0,1.0,,
customs_queue_wait_time_is_applicable,int64,numeric,0,0.0,2,True,0.004190284104739716,0.0645971994485778,0.0,0.0,1.0,,
customs_queue_organization_is_applicable,int64,numeric,0,0.0,2,True,0.004190284104739716,0.0645971994485778,0.0,0.0,1.0,,
customs_staff_service_is_applicable,int64,numeric,0,0.0,2,True,0.004190284104739716,0.0645971994485778,0.0,0.0,1.0,,
food_beverage_outlets_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
food_beverage_outlet_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.10736516326459644,0.3095796365248277,0.0,0.0,1.0,,
food_beverage_quality_variety_is_applicable,int64,numeric,0,0.0,2,True,0.10736516326459644,0.3095796365248277,0.0,0.0,1.0,,
food_beverage_price_quality_is_applicable,int64,numeric,0,0.0,2,True,0.10736516326459644,0.3095796365248277,0.0,0.0,1.0,,
retail_outlets_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
retail_outlet_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.03077511562402198,0.1727093700789207,0.0,0.0,1.0,,
retail_quality_variety_is_applicable,int64,numeric,0,0.0,2,True,0.03077511562402198,0.1727093700789207,0.0,0.0,1.0,,
retail_price_quality_is_applicable,int64,numeric,0,0.0,2,True,0.03077511562402198,0.1727093700789207,0.0,0.0,1.0,,
parking_is_applicable,int64,numeric,0,0.0,2,True,0.02282922418889314,0.1493600970481456,0.0,0.0,1.0,,
parking_facility_quality_is_applicable,int64,numeric,0,0.0,2,True,0.02282922418889314,0.1493600970481456,0.0,0.0,1.0,,
parking_space_availability_ease_is_applicable,int64,numeric,0,0.0,2,True,0.02282922418889314,0.1493600970481456,0.0,0.0,1.0,,
parking_terminal_access_ease_is_applicable,int64,numeric,0,0.0,2,True,0.02282922418889314,0.1493600970481456,0.0,0.0,1.0,,
parking_value_for_money_is_applicable,int64,numeric,0,0.0,2,True,0.02282922418889314,0.1493600970481456,0.0,0.0,1.0,,
signage_is_applicable,int64,numeric,0,0.0,2,True,0.25339917237542164,0.4349612871254223,0.0,0.0,1.0,,
flight_information_display_availability_is_applicable,int64,numeric,0,0.0,2,True,0.146642556594916,0.3537523046148734,0.0,0.0,1.0,,
terminal_accessibility_is_applicable,int64,numeric,0,0.0,2,True,0.009302082971102688,0.09599851278943214,0.0,0.0,1.0,,
boarding_lounge_comfort_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
thermal_comfort_is_applicable,int64,numeric,0,0.0,2,True,0.2365684876725667,0.4249787977525887,0.0,0.0,1.0,,
