test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8107879994092848,0.8107879994092848,0.8113699582753825,0.0
numeric_noise,0.01,0.8106099413808961,0.8106099413808963,0.8111961057023644,0.00017805802838866125
numeric_noise,0.03,0.8106099413808961,0.8106099413808963,0.8111961057023644,0.00017805802838866125
numeric_noise,0.05,0.8106099413808961,0.8106099413808963,0.8111961057023644,0.00017805802838866125
numeric_noise,0.1,0.8106099413808961,0.8106099413808963,0.8111961057023644,0.00017805802838866125
missing_values,0.01,0.8107879994092848,0.8107879994092848,0.8113699582753825,0.0
missing_values,0.03,0.8103324622651618,0.810332462265162,0.8108484005563282,0.0004555371441230527
missing_values,0.05,0.8090804604773995,0.8090804604773995,0.8096314325452016,0.001707538931885355
categorical_replacement,0.01,0.8111294477916946,0.8111294477916946,0.8117176634214186,-0.00034144838240979247
categorical_replacement,0.03,0.8104537950461159,0.8104537950461158,0.8110222531293463,0.00033420436316888846
categorical_replacement,0.05,0.8109513665407185,0.8109513665407185,0.8115438108484005,-0.0001633671314337226
