attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.088656062900347,0.0852104769172741,0.11396330433284518
flight_type,f1_macro,30,2,2,0.017974443553186337,0.018496547700087518,0.08842730640643359
gender,f1_macro,30,2,2,0.020762140287237774,0.02044978055061844,0.01710603692412449
nationality,f1_macro,30,2,2,0.005107458633401785,0.006417500761846301,0.018546303242477302
process,f1_macro,30,2,2,0.07745381511353755,0.07171280756186416,0.06365464271507648
trip_purpose,f1_macro,30,14,8,0.15980827918581553,0.158144198341081,0.1610017889087656
