,precision,recall,f1-score,support
not_liked,0.8476227591582229,0.7562586926286509,0.7993384785005513,2876.0
liked,0.7799748901443817,0.864047287899861,0.8198614318706698,2876.0
accuracy,0.8101529902642559,0.8101529902642559,0.8101529902642559,0.8101529902642559
macro avg,0.8137988246513024,0.8101529902642559,0.8095999551856106,5752.0
weighted avg,0.8137988246513024,0.8101529902642559,0.8095999551856106,5752.0
