metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8105006954102921,0.8101752433936023,0.005265945601318048,0.8004172461752433,0.8207623435326843,0.95,1000,1000,0
balanced_accuracy,0.810500695410292,0.810434580577336,0.004977429067937202,0.8005952020111253,0.8204683497496953,0.95,1000,1000,0
f1_weighted,0.8097303349754615,0.8097391432750594,0.005105283579555412,0.8002122079441005,0.8195968294351124,0.95,1000,1000,0
f1_macro,0.8097303349754615,0.8098507743334402,0.005146352268964147,0.8001096550579458,0.8206305687710086,0.95,1000,1000,0
precision_weighted,0.8156120736056391,0.8158264215882154,0.00511004854888983,0.8057104743817598,0.8259285103404109,0.95,1000,1000,0
recall_weighted,0.8105006954102921,0.8104434979137691,0.005098864878920585,0.8005910987482615,0.8205884909596662,0.95,1000,1000,0
sensitivity,0.8741307371349096,0.8743130283340568,0.006296422618973091,0.8622550519459642,0.885694968876206,0.95,1000,1000,0
specificity,0.7468706536856745,0.7471571402456667,0.008358391888440753,0.7301743200282585,0.7639739590881034,0.95,1000,1000,0
