attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.09122871576804958,0.08856477461119444,0.08870703764320786
flight_type,f1_macro,30,2,2,0.01661940773169024,0.017147020034770394,0.08129461462004162
gender,f1_macro,30,2,2,0.021246393492010407,0.020819519508626816,0.011565870719138394
nationality,f1_macro,30,2,2,3.636126090422742e-05,0.0012009621190909037,0.027665249645744683
process,f1_macro,30,2,2,0.08034721010911494,0.0753641055527848,0.04287874260088631
trip_purpose,f1_macro,30,14,8,0.147692666810314,0.14700574241181297,0.13774597495527718
