mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,param_model__bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
9.855601978302001,0.12918583681631882,0.32438950538635253,0.015536824960455302,500,10,30,0.4,6,,True,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 30, 'model__max_features': 0.4, 'model__max_depth': 6, 'model__class_weight': None, 'model__bootstrap': True}",0.7926204964744519,0.7897227856659905,0.7990726429675425,0.7888330757341576,0.7973338485316847,0.7935165698747654,0.004063801867302586,44,0.7926160256144241,0.7897266368693535,0.7990726429675425,0.7888330757341576,0.7973338485316848,0.7935164459434325,0.004063280792549558,44,0.7921737610158006,0.7893892498018851,0.798610312990844,0.7884332931905045,0.7970487423252572,0.7931310718648582,0.004058497900427331,44,0.7921746917146728,0.7893884402488168,0.798610312990844,0.7884332931905044,0.7970487423252572,0.793131096094019,0.004058603307255252,44,0.7951484990419417,0.7915781629352006,0.8018444179234024,0.7910328519769241,0.7990140700421073,0.7957236003839152,0.004190706664409069,44,0.7926160256144241,0.7897266368693535,0.7990726429675425,0.7888330757341576,0.7973338485316848,0.7935164459434325,0.004063280792549558,44
22.439500761032104,0.2011476898467712,0.43572354316711426,0.01744923263314775,900,20,5,0.4,10,,True,"{'model__n_estimators': 900, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': 0.4, 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}",0.8079783637592968,0.8044045204288612,0.8150115919629057,0.8054482225656878,0.8072836166924265,0.8080252630818358,0.0037178473698845633,15,0.807972988061868,0.8044091554638144,0.8150115919629057,0.8054482225656878,0.8072836166924267,0.8080251149493405,0.0037169593835922523,15,0.8073800617828377,0.8039545461384554,0.8143563801284628,0.8047836513360489,0.8067400685907573,0.8074429415953125,0.0036751692268365537,16,0.8073810987013411,0.8039536389322248,0.8143563801284627,0.8047836513360489,0.8067400685907573,0.807442967537767,0.0036753379466381813,16,0.8118407409366758,0.8072355783355254,0.8195224912391745,0.8096649683495445,0.810779920025142,0.8118087397772126,0.004149000295955599,8,0.807972988061868,0.8044091554638144,0.8150115919629057,0.8054482225656878,0.8072836166924267,0.8080251149493405,0.0037169593835922523,15
17.247392559051512,0.08295933327434331,0.42618699073791505,0.04204859885002318,900,50,5,0.3,10,,True,"{'model__n_estimators': 900, 'model__min_samples_split': 50, 'model__min_samples_leaf': 5, 'model__max_features': 0.3, 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}",0.8077851830387327,0.8046942915097073,0.8150115919629057,0.8047720247295209,0.8080564142194745,0.8080639010920683,0.0037560316017592726,14,0.8077802365055997,0.8046986000079415,0.8150115919629057,0.8047720247295209,0.8080564142194745,0.8080637734850885,0.0037553330445994045,14,0.8072782069907192,0.8043062784751851,0.8144510158508492,0.8042373670599802,0.8075538726479738,0.8075653482049414,0.003719999857522734,14,0.8072791617478717,0.8043054367983205,0.8144510158508492,0.8042373670599802,0.8075538726479738,0.8075653708209991,0.0037201326369955424,14,0.8110470477495484,0.8071398181631462,0.8188649806940398,0.808138316069015,0.8113081352420408,0.8112996595835581,0.004113303819075049,13,0.8077802365055997,0.8046986000079415,0.8150115919629057,0.8047720247295209,0.8080564142194745,0.8080637734850885,0.0037553330445994045,14
12.83257474899292,0.15615251156373927,0.4490058422088623,0.005888980637529889,900,20,5,0.3,6,,True,"{'model__n_estimators': 900, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': 0.3, 'model__max_depth': 6, 'model__class_weight': None, 'model__bootstrap': True}",0.7893364242248624,0.7898193760262726,0.7985896445131375,0.7885432766615147,0.7957882534775889,0.7924153949806753,0.004017715951474426,47,0.7893322892033154,0.7898232179008389,0.7985896445131375,0.7885432766615147,0.7957882534775889,0.7924153363512791,0.0040178540351118565,47,0.7889482537829453,0.7894876123209149,0.7981928978428261,0.788162312835224,0.7954483313769993,0.792047881631782,0.004014588380444016,47,0.7889491280406973,0.7894868051099531,0.7981928978428261,0.7881623128352241,0.7954483313769993,0.79204789504114,0.004014556372615851,47,0.7914717817579755,0.7916663349209556,0.8009563287390151,0.7906339532424214,0.7977675631795297,0.7944991923679795,0.004111136769566617,46,0.7893322892033154,0.7898232179008389,0.7985896445131375,0.7885432766615147,0.7957882534775889,0.7924153363512791,0.0040178540351118565,47
17.333403491973876,0.29634323660007533,0.406873893737793,0.03495918656216965,700,20,15,0.4,10,,True,"{'model__n_estimators': 700, 'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': 0.4, 'model__max_depth': 10, 'model__class_weight': None, 'model__bootstrap': True}",0.8074954119578867,0.8036317975466049,0.8157843894899537,0.8061244204018547,0.8068006182380216,0.8079673275268643,0.004120279104255772,17,0.8074901202232321,0.8036364325743488,0.8157843894899537,0.8061244204018547,0.8068006182380216,0.8079671961854821,0.004119425998485058,17,0.8069142267944958,0.80318004557999,0.8151404042807782,0.8054990325487422,0.8062812771902341,0.807402997278848,0.004069963695205797,17,0.8069152500078116,0.8031791347897348,0.8151404042807782,0.8054990325487422,0.8062812771902341,0.8074030197634603,0.0040701281672452985,17,0.8112307215324746,0.8064556807549933,0.8202468954946984,0.8101129011589363,0.8101262918960688,0.8116344981674342,0.004598837172552734,9,0.8074901202232321,0.8036364325743488,0.8157843894899537,0.8061244204018547,0.8068006182380216,0.8079671961854821,0.004119425998485058,17
11.55939335823059,0.16528160730544655,0.3698748588562012,0.008835540530372577,700,20,5,0.2,14,,True,"{'model__n_estimators': 700, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': 0.2, 'model__max_depth': 14, 'model__class_weight': None, 'model__bootstrap': True}",0.8100067613252198,0.8064329179947841,0.8159775888717156,0.8064142194744977,0.8110510046367851,0.8099764984606004,0.003533139102230664,2,0.8100020667146537,0.8064368719807232,0.8159775888717156,0.8064142194744977,0.8110510046367851,0.8099763503356752,0.0035323388983172273,2,0.8095554281645103,0.8061092457895693,0.8155174511372507,0.8059723754990045,0.810654028660091,0.8095617058500851,0.0035061911897338364,2,0.8095563236668135,0.8061084806070511,0.8155174511372506,0.8059723754990045,0.810654028660091,0.8095617319140421,0.003506341596583802,2,0.8129629343576976,0.8085017357458448,0.819161811855192,0.8092309697464191,0.8136816191942423,0.812707814179879,0.0038064947527036877,2,0.8100020667146537,0.8064368719807232,0.8159775888717156,0.8064142194744977,0.8110510046367851,0.8099763503356752,0.0035323388983172273,2
5.326425361633301,0.10197973177469545,0.38238725662231443,0.03509537325653574,700,100,5,sqrt,16,,True,"{'model__n_estimators': 700, 'model__min_samples_split': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 16, 'model__class_weight': None, 'model__bootstrap': True}",0.8073022312373225,0.801603399980682,0.8108578052550232,0.8007148377125193,0.8083462132921174,0.8057648974955329,0.003944247991699802,24,0.8072991226501477,0.801605562619588,0.8108578052550233,0.8007148377125193,0.8083462132921175,0.8057647083058791,0.0039435496131461694,24,0.8071014655760306,0.8015045806243197,0.8106654033659183,0.8005572378873164,0.808215748915754,0.8056088872738677,0.003923171349695558,24,0.807102066670825,0.8015041528348983,0.8106654033659182,0.8005572378873163,0.8082157489157539,0.8056089219349424,0.003923306606771918,24,0.8085799363161155,0.8022099791493409,0.8121265376802015,0.8016683519746937,0.8091875328148629,0.8067544675870428,0.004114176144796122,25,0.8072991226501477,0.801605562619588,0.8108578052550233,0.8007148377125193,0.8083462132921175,0.8057647083058791,0.0039435496131461694,24
4.199315452575684,0.1048826886607111,0.35180888175964353,0.009950089351105381,500,50,20,sqrt,16,,True,"{'model__n_estimators': 500, 'model__min_samples_split': 50, 'model__min_samples_leaf': 20, 'model__max_features': 'sqrt', 'model__max_depth': 16, 'model__class_weight': None, 'model__bootstrap': True}",0.8064329179947841,0.8007340867381435,0.8104714064914992,0.8007148377125193,0.8080564142194745,0.8052819326312841,0.003936862014366712,26,0.8064296881134276,0.800736389314406,0.8104714064914993,0.8007148377125193,0.8080564142194746,0.8052817471702653,0.003936141500162275,26,0.8062152241365461,0.8006215184477687,0.8102809437126178,0.8005484461599602,0.8079004151773979,0.8051133095268582,0.0039166511575267965,26,0.8062158514963681,0.8006210608530925,0.8102809437126178,0.8005484461599602,0.807900415177398,0.8051133434798873,0.0039167914286892,26,0.8078088467987625,0.8014198782961461,0.8117231872169774,0.8017216774665914,0.8090603334315585,0.8063467846420072,0.004100553620100747,26,0.8064296881134276,0.800736389314406,0.8104714064914993,0.8007148377125193,0.8080564142194746,0.8052817471702653,0.003936141500162275,26
6.127692747116089,0.12541815681822227,0.44449925422668457,0.032758179310101825,900,100,30,sqrt,14,,True,"{'model__n_estimators': 900, 'model__min_samples_split': 100, 'model__min_samples_leaf': 30, 'model__max_features': 'sqrt', 'model__max_depth': 14, 'model__class_weight': None, 'model__bootstrap': True}",0.804018158987733,0.7987056891722206,0.8078632148377125,0.7993624420401855,0.8076700154559505,0.8035239040987603,0.003919109758962325,30,0.8040151250075012,0.798707590552554,0.8078632148377125,0.7993624420401855,0.8076700154559506,0.8035236775787808,0.003918565998943087,30,0.8038236456295973,0.7986282682834407,0.8077154198433931,0.7992248478746422,0.8075361631347648,0.8033856689531677,0.003901549986141326,30,0.80382424229634,0.7986278868997521,0.8077154198433931,0.7992248478746422,0.8075361631347646,0.8033857120097785,0.0039016564022541925,30,0.8052219499874897,0.7991699414757908,0.8088126610272112,0.8001853277257801,0.808528300937621,0.8043836362307786,0.004057232639018385,40,0.8040151250075012,0.798707590552554,0.8078632148377125,0.7993624420401855,0.8076700154559506,0.8035236775787808,0.003918565998943087,30
8.977398300170899,0.23895945752914863,0.39116711616516114,0.020885864743065516,700,20,5,0.2,8,,True,"{'model__n_estimators': 700, 'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': 0.2, 'model__max_depth': 8, 'model__class_weight': None, 'model__bootstrap': True}",0.8027624843040665,0.7975466048488361,0.8100850077279753,0.7990726429675425,0.8027434312210201,0.802442034213888,0.004334203469898605,35,0.8027579295713803,0.7975501669045615,0.8100850077279753,0.7990726429675425,0.8027434312210201,0.8024418356784959,0.004333332138568628,35,0.802321478022523,0.7972720487123588,0.809668951683073,0.7986251395360668,0.8023077049402387,0.802039064578852,0.004306888126925122,34,0.8023223798758595,0.7972713280925781,0.809668951683073,0.7986251395360668,0.8023077049402385,0.8020391008255633,0.00430705950314541,34,0.8054783541535504,0.7991751220703767,0.8128202579234183,0.8017549314513797,0.8054362340791376,0.8049329799355724,0.004604623137497463,36,0.8027579295713803,0.7975501669045615,0.8100850077279753,0.7990726429675425,0.8027434312210201,0.8024418356784959,0.004333332138568628,35
