threshold,score_source,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,sensitivity,specificity,precision_not_liked,recall_not_liked,precision_liked,recall_liked,pred_positive_rate
0.05,predict_proba,0.599095966620306,0.599095966620306,0.524052375613086,0.5240523756130859,0.7683257385292269,0.599095966620306,0.9961752433936022,0.20201668984700974,0.981418918918919,0.20201668984700974,0.5552325581395349,0.9961752433936022,0.8970792767732962
0.1,predict_proba,0.6750695410292072,0.6750695410292072,0.6400986854824576,0.6400986854824576,0.7863756091878873,0.6750695410292072,0.9867872044506258,0.3633518776077886,0.9649122807017544,0.3633518776077886,0.6078389376740201,0.9867872044506258,0.8117176634214186
0.15,predict_proba,0.7244436717663422,0.7244436717663422,0.7056617430679213,0.7056617430679214,0.8013648818286907,0.7244436717663422,0.9770514603616134,0.47183588317107095,0.9536191145467322,0.47183588317107095,0.6491106491106491,0.9770514603616134,0.7526077885952712
0.2,predict_proba,0.7534770514603616,0.7534770514603616,0.7418245378134236,0.7418245378134236,0.8093206760840661,0.7534770514603616,0.9659248956884562,0.541029207232267,0.9407496977025392,0.541029207232267,0.677891654465593,0.9659248956884562,0.7124478442280946
0.25,predict_proba,0.7691237830319889,0.7691237830319889,0.7614138876801315,0.7614138876801316,0.8090747019668936,0.7691237830319889,0.9488873435326843,0.5893602225312935,0.9201954397394136,0.5893602225312935,0.6979539641943734,0.9488873435326843,0.6797635605006954
0.3,predict_proba,0.7863351877607788,0.7863351877607789,0.7815995040795574,0.7815995040795573,0.8135287723655663,0.7863351877607789,0.9335883171070932,0.6390820584144645,0.905864958107442,0.6390820584144645,0.7211925866236906,0.9335883171070932,0.6472531293463143
0.35,predict_proba,0.7990264255910987,0.7990264255910987,0.7960401812356692,0.7960401812356692,0.8176284455037652,0.7990264255910987,0.9200278164116829,0.6780250347705146,0.8944954128440367,0.6780250347705146,0.7407614781634938,0.9200278164116829,0.6210013908205841
0.39999999999999997,predict_proba,0.8047635605006954,0.8047635605006953,0.8028750446121561,0.802875044612156,0.8169078474360187,0.8047635605006953,0.9026425591098748,0.7068845618915159,0.878945092952875,0.7068845618915159,0.7548706019191626,0.9026425591098748,0.5978789986091794
0.44999999999999996,predict_proba,0.808240611961057,0.808240611961057,0.8070859733578241,0.8070859733578241,0.8158012081971909,0.808240611961057,0.8856050069541029,0.7308762169680111,0.8646647470176881,0.7308762169680111,0.7669376693766937,0.8856050069541029,0.5773643949930459
0.49999999999999994,predict_proba,0.8101529902642559,0.8101529902642559,0.8095999551856106,0.8095999551856106,0.8137988246513024,0.8101529902642559,0.864047287899861,0.7562586926286509,0.8476227591582229,0.7562586926286509,0.7799748901443817,0.864047287899861,0.553894297635605
0.5499999999999999,predict_proba,0.8089360222531293,0.8089360222531293,0.8088368685422187,0.8088368685422187,0.8095783184712295,0.8089360222531293,0.8317107093184979,0.7861613351877608,0.8236794171220401,0.7861613351877608,0.795477219820419,0.8317107093184979,0.5227746870653686
0.6,predict_proba,0.8054589707927677,0.8054589707927677,0.8053640868628451,0.8053640868628452,0.8060557727709419,0.8054589707927677,0.7833796940194715,0.827538247566064,0.7925407925407926,0.827538247566064,0.8195707530010913,0.7833796940194715,0.47792072322670376
0.65,predict_proba,0.7915507649513213,0.7915507649513214,0.7901194949622303,0.7901194949622303,0.799726650750191,0.7915507649513214,0.708970792767733,0.8741307371349096,0.7502238137869293,0.8741307371349096,0.8492294877134527,0.708970792767733,0.4174200278164117
0.7,predict_proba,0.7764255910987483,0.7764255910987483,0.7731421575482785,0.7731421575482786,0.7934124451781402,0.7764255910987483,0.6561196105702365,0.8967315716272601,0.7228139013452914,0.8967315716272601,0.864010989010989,0.6561196105702365,0.3796940194714882
0.75,predict_proba,0.7659944367176634,0.7659944367176634,0.7608951527465924,0.7608951527465925,0.7908016309232523,0.7659944367176634,0.6199582753824756,0.9120305980528511,0.7058665231431647,0.9120305980528511,0.8757367387033399,0.6199582753824756,0.35396383866481224
0.7999999999999999,predict_proba,0.7336578581363005,0.7336578581363005,0.7227681805117135,0.7227681805117135,0.7772137257421925,0.7336578581363005,0.5354659248956884,0.9318497913769124,0.6673306772908366,0.9318497913769124,0.8870967741935484,0.5354659248956884,0.30180806675938804
0.85,predict_proba,0.6761126564673157,0.6761126564673158,0.6458669196232103,0.6458669196232103,0.7674985286326705,0.6761126564673158,0.38386648122392214,0.9683588317107094,0.6111476848804038,0.9683588317107094,0.9238493723849373,0.38386648122392214,0.2077538247566064
0.9,predict_proba,0.6010083449235049,0.6010083449235049,0.529456551553042,0.529456551553042,0.7578375577526588,0.6010083449235049,0.21105702364394993,0.9909596662030598,0.5567493651103731,0.9909596662030598,0.9589257503949447,0.21105702364394993,0.11004867872044506
0.95,predict_proba,0.5455493741307371,0.5455493741307371,0.42749301678104834,0.42749301678104834,0.7600411918013958,0.5455493741307371,0.09144645340751043,0.9996522948539638,0.5238702623906706,0.9996522948539638,0.9962121212121212,0.09144645340751043,0.0458970792767733
