,precision,recall,f1-score,support
not_liked,0.8551012306470822,0.7489568845618915,0.7985171455050973,2876.0
liked,0.7766780080420662,0.8730876216968011,0.8220658045506629,2876.0
accuracy,0.8110222531293463,0.8110222531293463,0.8110222531293463,0.8110222531293463
macro avg,0.8158896193445742,0.8110222531293463,0.8102914750278801,5752.0
weighted avg,0.8158896193445743,0.8110222531293463,0.8102914750278801,5752.0
