attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.09333535529566706,0.08912499236734445,0.1273026315789474
flight_type,f1_macro,30,2,2,0.0023957763872641813,0.0015160433418467956,0.02631133098400651
gender,f1_macro,30,2,2,0.01724414749510572,0.01697873215084575,0.01705380770361653
nationality,f1_macro,30,2,2,0.0031955962748932976,0.00677509060629472,0.022947403517546094
process,f1_macro,30,2,2,0.07245882857607033,0.06825365693290222,0.018621721482613207
trip_purpose,f1_macro,30,14,8,0.15657278379391681,0.15646704949412088,0.10264635124298316
