metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8110222531293463,0.8106726356050069,0.005255372822229065,0.8005910987482615,0.8209361961057023,0.95,1000,1000,0
balanced_accuracy,0.8110222531293463,0.8106857741963512,0.005146217939658448,0.8005531690202746,0.8209510868906649,0.95,1000,1000,0
f1_weighted,0.8102914750278801,0.8099386512639023,0.005289409044416448,0.7999356845458082,0.8203373636692664,0.95,1000,1000,0
f1_macro,0.8102914750278801,0.80991582469912,0.005262132687810556,0.7998060010627482,0.8202906610834788,0.95,1000,1000,0
precision_weighted,0.8158896193445743,0.8156156533503349,0.005084171111128778,0.8053027032297487,0.8257221175948412,0.95,1000,1000,0
recall_weighted,0.8110222531293463,0.8106726356050069,0.005255372822229065,0.8005910987482615,0.8209361961057023,0.95,1000,1000,0
sensitivity,0.8730876216968011,0.8728655551107566,0.00621106778936857,0.860835330579327,0.8846163748712667,0.95,1000,1000,0
specificity,0.7489568845618915,0.7485059932819459,0.00814318180587829,0.7320253762321439,0.7642728049600901,0.95,1000,1000,0
