threshold,score_source,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,sensitivity,specificity,precision_not_liked,recall_not_liked,precision_liked,recall_liked,pred_positive_rate
0.05,predict_proba,0.6385605006954103,0.6385605006954103,0.5860295163554476,0.5860295163554476,0.7813879289708383,0.6385605006954103,0.9947844228094576,0.282336578581363,0.9818621523579202,0.282336578581363,0.5809137055837563,0.9947844228094576,0.8562239221140473
0.1,predict_proba,0.6901947148817803,0.6901947148817803,0.6603902313864527,0.6603902313864528,0.7930779319492675,0.6901947148817803,0.9864394993045897,0.3939499304589708,0.9667235494880546,0.3939499304589708,0.6194323144104803,0.9864394993045897,0.7962447844228094
0.15,predict_proba,0.7273991655076495,0.7273991655076495,0.7092796510299577,0.7092796510299576,0.8029182127396413,0.7273991655076495,0.9770514603616134,0.47774687065368565,0.9541666666666667,0.47774687065368565,0.6516697588126159,0.9770514603616134,0.7496522948539638
0.2,predict_proba,0.7536509040333796,0.7536509040333796,0.7422249792158084,0.7422249792158085,0.8083154600649096,0.7536509040333796,0.9641863699582753,0.5431154381084841,0.9381381381381382,0.5431154381084841,0.678492781991681,0.9641863699582753,0.7105354659248957
0.25,predict_proba,0.7719054242002782,0.7719054242002782,0.7642884191538648,0.7642884191538649,0.8122692725298588,0.7719054242002782,0.9516689847009736,0.5921418636995828,0.9245385450597177,0.5921418636995828,0.7,0.9516689847009736,0.6797635605006954
0.3,predict_proba,0.7877260083449235,0.7877260083449236,0.7828607388228047,0.7828607388228047,0.8160521403894129,0.7877260083449236,0.9374130737134909,0.6380389429763561,0.9106699751861043,0.6380389429763561,0.7214343055927215,0.9374130737134909,0.6496870653685675
0.35,predict_proba,0.7958970792767733,0.7958970792767732,0.7925929347694551,0.7925929347694551,0.8160357940678951,0.7958970792767732,0.9221140472878998,0.6696801112656467,0.8958139534883721,0.6696801112656467,0.7362576346474181,0.9221140472878998,0.6262169680111266
0.39999999999999997,predict_proba,0.8014603616133519,0.8014603616133519,0.7990959663480641,0.799095966348064,0.8163527023598072,0.8014603616133519,0.9099443671766342,0.6929763560500696,0.8849911190053286,0.6929763560500696,0.7477142857142857,0.9099443671766342,0.6084840055632823
0.44999999999999996,predict_proba,0.8089360222531293,0.8089360222531293,0.8074636728034223,0.8074636728034223,0.818684091162203,0.8089360222531293,0.8963838664812239,0.7214881780250347,0.8744205646860514,0.7214881780250347,0.7629476176383545,0.8963838664812239,0.5874478442280946
0.49999999999999994,predict_proba,0.8105006954102921,0.810500695410292,0.8097303349754615,0.8097303349754615,0.8156120736056391,0.810500695410292,0.8741307371349096,0.7468706536856745,0.8557768924302789,0.7468706536856745,0.7754472547809994,0.8741307371349096,0.5636300417246175
0.5499999999999999,predict_proba,0.8129346314325452,0.8129346314325452,0.8127430136010162,0.8127430136010162,0.8142207848964251,0.8129346314325452,0.844923504867872,0.7809457579972183,0.8343239227340268,0.7809457579972183,0.7941176470588235,0.844923504867872,0.5319888734353269
0.6,predict_proba,0.8087621696801113,0.8087621696801113,0.8087610367719714,0.8087610367719715,0.808769486336895,0.8087621696801113,0.8111961057023644,0.8063282336578581,0.810272536687631,0.8063282336578581,0.8072664359861592,0.8111961057023644,0.5024339360222532
0.65,predict_proba,0.7939847009735744,0.7939847009735743,0.7935263845825085,0.7935263845825085,0.7966183557200686,0.7939847009735743,0.7468706536856745,0.8410987482614742,0.7686685732443597,0.8410987482614742,0.8245681381957773,0.7468706536856745,0.45288595271210014
0.7,predict_proba,0.7764255910987483,0.7764255910987483,0.7740483026693259,0.7740483026693259,0.7885700308811658,0.7764255910987483,0.6738525730180807,0.8789986091794159,0.7293710328909405,0.8789986091794159,0.847769028871391,0.6738525730180807,0.3974269819193324
0.75,predict_proba,0.7430458970792768,0.7430458970792768,0.7348044321126402,0.7348044321126401,0.7775471547027687,0.7430458970792768,0.566759388038943,0.9193324061196105,0.6796915167095116,0.9193324061196105,0.8754027926960258,0.566759388038943,0.32371349095966623
0.7999999999999999,predict_proba,0.704798331015299,0.704798331015299,0.6862092257204895,0.6862092257204895,0.7683985235549269,0.704798331015299,0.4614047287899861,0.9481919332406119,0.6377455565949486,0.9481919332406119,0.8990514905149052,0.4614047287899861,0.2566063977746871
0.85,predict_proba,0.6566411682892906,0.6566411682892906,0.618207151842224,0.618207151842224,0.7622350326903744,0.6566411682892906,0.33936022253129344,0.9739221140472879,0.5958306743246118,0.9739221140472879,0.928639391056137,0.33936022253129344,0.18271905424200277
0.9,predict_proba,0.6121349095966621,0.6121349095966621,0.5481165601619732,0.5481165601619732,0.758780949798153,0.6121349095966621,0.2357440890125174,0.9885257301808067,0.5639754017060107,0.9885257301808067,0.9535864978902954,0.2357440890125174,0.12360917941585535
0.95,predict_proba,0.5512865090403338,0.5512865090403338,0.4403425398398291,0.4403425398398291,0.7476914498249794,0.5512865090403338,0.1060500695410292,0.9965229485396384,0.5271289313959905,0.9965229485396384,0.9682539682539683,0.1060500695410292,0.05476356050069541
