attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.09949768569688155,0.09468563635993568,0.11261889663918834
flight_type,f1_macro,30,2,2,0.0001856662586481317,0.0009554178161537419,0.0381087919038583
gender,f1_macro,30,2,2,0.014813434794864744,0.014472293759899418,0.009407062938145083
nationality,f1_macro,30,2,2,0.00030826629659430616,0.0026628073951379116,0.0006668333750103894
process,f1_macro,30,2,2,0.08276128487544088,0.0779498137988704,0.03060972061975431
trip_purpose,f1_macro,30,14,8,0.15883895224859323,0.158144198341081,0.10264635124298316
