mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__optimizer__weight_decay,param_model__module__hidden2,param_model__module__hidden1,param_model__module__dropout2,param_model__module__dropout1,param_model__lr,param_model__batch_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
46.597159242630006,1.2527624526588779,0.21096787452697754,0.02244159450878602,0.002,32,96,0.05,0.35,0.0003,1024,"{'model__optimizer__weight_decay': 0.002, 'model__module__hidden2': 32, 'model__module__hidden1': 96, 'model__module__dropout2': 0.05, 'model__module__dropout1': 0.35, 'model__lr': 0.0003, 'model__batch_size': 1024}",0.8151260504201681,0.8136771950159374,0.8216769706336939,0.8138523956723338,0.8087326120556414,0.814613044759555,0.004152014309342558,4,0.8151212532306877,0.8136807852112498,0.8216769706336939,0.8138523956723338,0.8087326120556415,0.8146128033607214,0.0041517347699159615,4,0.8146674507589756,0.8134205139032424,0.8212765419382198,0.8133080174327674,0.8083864471395724,0.8142117942345555,0.004135115205937485,5,0.8146683412437546,0.8134198454628448,0.8212765419382199,0.8133080174327674,0.8083864471395725,0.8142118386434319,0.004135160442344886,5,0.8182652868999734,0.8154210292944634,0.8245859006685881,0.8175562659433627,0.8109798500423501,0.8173616665697475,0.0044167320986413655,2,0.8151212532306877,0.8136807852112498,0.8216769706336939,0.8138523956723338,0.8087326120556415,0.8146128033607214,0.0041517347699159615,4
39.272283697128294,0.7378474786665616,0.21483750343322755,0.0477880996503727,0.001,64,96,0.1,0.4,0.0001,2048,"{'model__optimizer__weight_decay': 0.001, 'model__module__hidden2': 64, 'model__module__hidden1': 96, 'model__module__dropout2': 0.1, 'model__module__dropout1': 0.4, 'model__lr': 0.0001, 'model__batch_size': 2048}",0.8148362793393219,0.8089442673621172,0.8220633693972179,0.8080564142194745,0.8083462132921174,0.8124493087220499,0.005413797568181888,14,0.8148332081412286,0.8089471764453344,0.8220633693972179,0.8080564142194745,0.8083462132921175,0.8124492762990746,0.00541315035451294,14,0.8146479609114705,0.8087717072167863,0.8217999635532753,0.8078252947168517,0.8081936042519778,0.8122477061300722,0.005386703594698356,14,0.8146485315733731,0.8087711523610135,0.8217999635532753,0.8078252947168518,0.808193604251978,0.8122477092912984,0.005386826070019266,14,0.8161140076309648,0.8100699760890995,0.8239789232523242,0.8095455177096924,0.8093306780212413,0.8138078205406645,0.005673682066750577,13,0.8148332081412286,0.8089471764453344,0.8220633693972179,0.8080564142194745,0.8083462132921175,0.8124492762990746,0.00541315035451294,14
39.26020431518555,0.8730925720526747,0.2159142017364502,0.0493385552482942,0.002,32,96,0.1,0.3,0.0001,2048,"{'model__optimizer__weight_decay': 0.002, 'model__module__hidden2': 32, 'model__module__hidden1': 96, 'model__module__dropout2': 0.1, 'model__module__dropout1': 0.3, 'model__lr': 0.0001, 'model__batch_size': 2048}",0.8146430986187578,0.8097169902443736,0.821193972179289,0.8094088098918083,0.8086360123647605,0.8127197766597979,0.004736401905944885,12,0.8146395236151818,0.8097192089371639,0.821193972179289,0.8094088098918083,0.8086360123647605,0.8127195053976406,0.004735830573861792,12,0.8143877481494673,0.8096172220934049,0.8209881712006319,0.8091610470566277,0.8085198258704464,0.8125348028741156,0.004709721616511885,12,0.8143884131246477,0.8096168011307425,0.8209881712006319,0.8091610470566278,0.8085198258704465,0.8125348516766193,0.004709826108107854,12,0.8163759687013585,0.810372544301655,0.8226778387023289,0.8110239976989212,0.8093869325735126,0.8139674563955552,0.004984781479730545,12,0.8146395236151818,0.8097192089371639,0.821193972179289,0.8094088098918083,0.8086360123647605,0.8127195053976406,0.004735830573861792,12
38.91419558525085,0.43126582039340344,0.18938465118408204,0.01572121924542909,0.0005,64,64,0.05,0.3,0.0001,2048,"{'model__optimizer__weight_decay': 0.0005, 'model__module__hidden2': 64, 'model__module__hidden1': 64, 'model__module__dropout2': 0.05, 'model__module__dropout1': 0.3, 'model__lr': 0.0001, 'model__batch_size': 2048}",0.8140635564570656,0.8074954119578867,0.8196483771251932,0.8053516228748068,0.8080564142194745,0.8109230765268853,0.005234524194275079,16,0.8140600560856648,0.8074971734747586,0.8196483771251932,0.8053516228748068,0.8080564142194745,0.8109227287559795,0.005233873727610749,16,0.8138179832442093,0.8074319128553984,0.8194139254205393,0.8051499997454532,0.8079398758226032,0.8107507394176408,0.005191196879106162,16,0.8138186363644562,0.8074315750942149,0.8194139254205393,0.8051499997454531,0.8079398758226032,0.8107508024894534,0.005191317254967813,16,0.8157213659858327,0.8079054595895012,0.8213170179162442,0.8066207392801981,0.8088059242494308,0.8120741014042414,0.005595207941207577,16,0.8140600560856648,0.8074971734747586,0.8196483771251932,0.8053516228748068,0.8080564142194745,0.8109227287559795,0.005233873727610749,16
38.6657509803772,0.6353237052737192,0.19035449028015136,0.015280794419115649,0.0005,16,96,0.0,0.25,0.0003,2048,"{'model__optimizer__weight_decay': 0.0005, 'model__module__hidden2': 16, 'model__module__hidden1': 96, 'model__module__dropout2': 0.0, 'model__module__dropout1': 0.25, 'model__lr': 0.0003, 'model__batch_size': 2048}",0.8160919540229885,0.8148362793393219,0.8235123647604328,0.8103748068006182,0.8079598145285936,0.814555043890391,0.005359966711906502,6,0.8160890041226815,0.8148405412836888,0.8235123647604328,0.8103748068006182,0.8079598145285936,0.814555306299203,0.005359842759668409,6,0.8159193725456211,0.8144763671982956,0.8231677408795686,0.8098001796946303,0.8076461937552939,0.8142019708146819,0.0053993290852504,6,0.8159199169666853,0.8144755779172845,0.8231677408795686,0.8098001796946303,0.8076461937552938,0.8142019218426926,0.0053993557132155975,6,0.8172750728761409,0.8173082275453065,0.8260541189950676,0.8141714759184145,0.8099814354027006,0.816958066147526,0.005280146689825488,5,0.8160890041226815,0.8148405412836888,0.8235123647604328,0.8103748068006182,0.8079598145285936,0.814555306299203,0.005359842759668409,6
36.27309846878052,0.7753222542132031,0.25536012649536133,0.06337312118658783,0.0005,16,64,0.1,0.35,0.0001,4096,"{'model__optimizer__weight_decay': 0.0005, 'model__module__hidden2': 16, 'model__module__hidden1': 64, 'model__module__dropout2': 0.1, 'model__module__dropout1': 0.35, 'model__lr': 0.0001, 'model__batch_size': 4096}",0.8045977011494253,0.8023761228629382,0.8135625965996909,0.8039026275115919,0.803226429675425,0.8055330955598144,0.004081506090150214,19,0.8045932677199323,0.8023778750023511,0.8135625965996909,0.8039026275115919,0.803226429675425,0.8055325593017983,0.004081438770944644,19,0.8041837680391897,0.8023116269919339,0.8133974116140389,0.8037174076742636,0.8031012668351283,0.8053422962309108,0.004076137951956104,19,0.8041846376465642,0.8023112820942281,0.813397411614039,0.8037174076742636,0.8031012668351282,0.8053424011728445,0.00407613982707687,19,0.8071852286928155,0.8027751097156474,0.8146768338400738,0.8050540707381967,0.8039994042552714,0.806738129448401,0.004225283895262284,19,0.8045932677199323,0.8023778750023511,0.8135625965996909,0.8039026275115919,0.803226429675425,0.8055325593017983,0.004081438770944644,19
46.32075924873352,0.5025318759793862,0.2027515411376953,0.01885699685436259,0.001,64,32,0.1,0.3,0.0002,1024,"{'model__optimizer__weight_decay': 0.001, 'model__module__hidden2': 64, 'model__module__hidden1': 32, 'model__module__dropout2': 0.1, 'model__module__dropout1': 0.3, 'model__lr': 0.0002, 'model__batch_size': 1024}",0.8140635564570656,0.8140635564570656,0.8230293663060279,0.8125965996908809,0.8089258114374034,0.8145357780696887,0.004643687457862031,7,0.8140587312685792,0.8140677624160364,0.8230293663060277,0.812596599690881,0.8089258114374034,0.8145356542237856,0.004643700932542707,7,0.8135969183740345,0.8137116085456868,0.8226700263948183,0.8121261889406466,0.8086760853366498,0.8141561655183672,0.00462921805487956,7,0.8135978192197547,0.8137108264392171,0.8226700263948183,0.8121261889406465,0.8086760853366499,0.8141561892662172,0.0046292113412434175,7,0.8172291819474912,0.8164646175364667,0.825669098383296,0.8157590726598531,0.8105471819174443,0.8171338304889103,0.0048699411577113,3,0.8140587312685792,0.8140677624160364,0.8230293663060277,0.812596599690881,0.8089258114374034,0.8145356542237856,0.004643700932542707,7
39.31909804344177,0.6245022155255189,0.1901416301727295,0.013126750638250053,0.002,32,96,0.0,0.4,0.0001,2048,"{'model__optimizer__weight_decay': 0.002, 'model__module__hidden2': 32, 'model__module__hidden1': 96, 'model__module__dropout2': 0.0, 'model__module__dropout1': 0.4, 'model__lr': 0.0001, 'model__batch_size': 2048}",0.8130010624939631,0.8086544962812712,0.82129057187017,0.8092156105100463,0.8087326120556414,0.8121788706422184,0.004832761574940518,15,0.8129973475296005,0.8086578438575807,0.82129057187017,0.8092156105100463,0.8087326120556414,0.8121787971646078,0.004832147392831691,15,0.8127229003415712,0.8084254245505724,0.8210015122041092,0.8090273803112416,0.8085739821863347,0.8119502399187658,0.004793518166302191,15,0.8127235974898228,0.8084247846854028,0.8210015122041093,0.8090273803112417,0.8085739821863347,0.8119502513753822,0.004793634760367677,15,0.8148633216141996,0.8101453897477953,0.8233794376119546,0.8104395366581463,0.8097593708856343,0.813717411303546,0.005173736501987085,15,0.8129973475296005,0.8086578438575807,0.82129057187017,0.8092156105100463,0.8087326120556414,0.8121787971646078,0.004832147392831691,15
46.29484229087829,1.256036754489098,0.19432511329650878,0.013716279490561225,0.0005,64,32,0.0,0.25,0.0002,1024,"{'model__optimizer__weight_decay': 0.0005, 'model__module__hidden2': 64, 'model__module__hidden1': 32, 'model__module__dropout2': 0.0, 'model__module__dropout1': 0.25, 'model__lr': 0.0002, 'model__batch_size': 1024}",0.8151260504201681,0.8127112914131169,0.8216769706336939,0.8097952086553323,0.8089258114374034,0.8136470665119429,0.004575357626837144,9,0.8151218876501372,0.8127140232672214,0.8216769706336939,0.8097952086553324,0.8089258114374034,0.8136467803287577,0.004574977274426452,9,0.8147807725957332,0.8125621870049718,0.8214439097732333,0.8094978380766278,0.8087046337817638,0.813397868246466,0.004573538168494683,9,0.8147815450293451,0.8125616763734371,0.8214439097732334,0.8094978380766278,0.8087046337817637,0.8133979206068813,0.00457360355936266,9,0.8174839520107502,0.8137156692422738,0.8233652644731362,0.8117417022693507,0.8103611825100259,0.8153335541011074,0.004677093390290221,9,0.8151218876501372,0.8127140232672214,0.8216769706336939,0.8097952086553324,0.8089258114374034,0.8136467803287577,0.004574977274426452,9
38.68945498466492,0.6750901535879557,0.21517467498779297,0.04970097514600261,0.0005,64,96,0.0,0.35,0.0002,2048,"{'model__optimizer__weight_decay': 0.0005, 'model__module__hidden2': 64, 'model__module__hidden1': 96, 'model__module__dropout2': 0.0, 'model__module__dropout1': 0.35, 'model__lr': 0.0002, 'model__batch_size': 2048}",0.8152226407804501,0.8135806046556554,0.8235123647604328,0.8101816074188563,0.8095054095826894,0.8144005254396168,0.00502265244771354,8,0.8152183940440403,0.8135839802670175,0.8235123647604328,0.8101816074188563,0.8095054095826892,0.8144003512146071,0.005022403791975209,8,0.8148634796298068,0.8133536696820589,0.8231524627681784,0.8100252349517787,0.8093366298978677,0.8141462953859382,0.004947113923737007,8,0.814864267263909,0.8133530410533231,0.8231524627681785,0.8100252349517786,0.8093366298978677,0.8141463271870112,0.004947156924431959,8,0.8176781450386089,0.8151207910454982,0.8261674954625743,0.811206250648107,0.8106052297053594,0.8161555823800295,0.005637901970300388,8,0.8152183940440403,0.8135839802670175,0.8235123647604328,0.8101816074188563,0.8095054095826892,0.8144003512146071,0.005022403791975209,8
