,precision,recall,f1-score,support
not_liked,0.8453017570664629,0.769471488178025,0.8056061157626503,2876.0
liked,0.7884492661135929,0.8591794158553546,0.8222961730449251,2876.0
accuracy,0.8143254520166898,0.8143254520166898,0.8143254520166898,0.8143254520166898
macro avg,0.8168755115900279,0.8143254520166898,0.8139511444037877,5752.0
weighted avg,0.816875511590028,0.8143254520166898,0.8139511444037877,5752.0
