attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.08482871862486108,0.08453519427931422,0.10075803256094407
flight_type,f1_macro,30,2,2,0.014473529425561127,0.01439439306230178,0.09073710129212975
gender,f1_macro,30,2,2,0.008362424865199336,0.008126277098673612,0.0033948993330135124
nationality,f1_macro,30,2,2,0.009678670702346737,0.011034682841422394,0.00615987330165868
process,f1_macro,30,2,2,0.06555557779578591,0.06117795174398949,0.0635022570884054
trip_purpose,f1_macro,30,14,8,0.08280872634030967,0.07865446922050695,0.08900772656339206
