metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8218011126564673,0.8215130389429764,0.005160090521064997,0.8117176634214186,0.8320627607788595,0.95,1000,1000,0
balanced_accuracy,0.8218011126564673,0.8215245374031358,0.005075853790744615,0.8120995377273829,0.8316977754099675,0.95,1000,1000,0
f1_weighted,0.8212650781253623,0.8209783961154006,0.005185030634938653,0.8111768678029415,0.8316780355348015,0.95,1000,1000,0
f1_macro,0.8212650781253623,0.8209561498322878,0.0051650660438901696,0.8113238381459699,0.8316284777324325,0.95,1000,1000,0
precision_weighted,0.8257083722510756,0.8254650721201774,0.005022037088479952,0.8163679068790906,0.8354554571006878,0.95,1000,1000,0
recall_weighted,0.8218011126564673,0.8215130389429764,0.005160090521064997,0.8117176634214186,0.8320627607788595,0.95,1000,1000,0
sensitivity,0.8765646731571627,0.8762168580364788,0.006183833677321999,0.864640311645075,0.8878454456863284,0.95,1000,1000,0
specificity,0.7670375521557719,0.7668322167697927,0.007902841649527646,0.7516627213792157,0.7818085201994417,0.95,1000,1000,0
