threshold,score_source,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,sensitivity,specificity,precision_not_liked,recall_not_liked,precision_liked,recall_liked,pred_positive_rate
0.05,predict_proba,0.6371696801112656,0.6371696801112656,0.5840820187344268,0.5840820187344268,0.7802578136134934,0.6371696801112656,0.9944367176634215,0.27990264255910985,0.9805115712545676,0.27990264255910985,0.5800040559724194,0.9944367176634215,0.8572670375521557
0.1,predict_proba,0.7075799721835884,0.7075799721835883,0.6837806442925117,0.6837806442925117,0.796987593776616,0.7075799721835883,0.9819193324061196,0.433240611961057,0.9599383667180277,0.433240611961057,0.6340368208352043,0.9819193324061196,0.7743393602225312
0.15,predict_proba,0.7491307371349096,0.7491307371349096,0.7362103100352058,0.7362103100352058,0.8098333189742599,0.7491307371349096,0.9704450625869263,0.527816411682893,0.9469744229569557,0.527816411682893,0.6726922149915643,0.9704450625869263,0.7213143254520167
0.2,predict_proba,0.7699930458970793,0.7699930458970793,0.7614095377229375,0.7614095377229374,0.8153769296980199,0.7699930458970793,0.9596662030598053,0.5803198887343533,0.9350140056022409,0.5803198887343533,0.6957398537937989,0.9596662030598053,0.689673157162726
0.25,predict_proba,0.7821627260083449,0.7821627260083449,0.7758539073446493,0.7758539073446493,0.817959943875814,0.7821627260083449,0.9499304589707928,0.6143949930458971,0.9246467817896389,0.6143949930458971,0.7112731059619891,0.9499304589707928,0.6677677329624478
0.3,predict_proba,0.7950278164116829,0.7950278164116829,0.7908704397090605,0.7908704397090606,0.8205143915767132,0.7950278164116829,0.9360222531293463,0.6540333796940194,0.9108958837772397,0.6540333796940194,0.7301328993761866,0.9360222531293463,0.6409944367176634
0.35,predict_proba,0.8035465924895688,0.8035465924895688,0.800795181443674,0.8007951814436741,0.8212976044226044,0.8035465924895688,0.9210709318497914,0.6860222531293463,0.8968181818181818,0.6860222531293463,0.745777027027027,0.9210709318497914,0.6175243393602226
0.39999999999999997,predict_proba,0.8117176634214186,0.8117176634214187,0.8098437694170995,0.8098437694170995,0.8245091616653042,0.8117176634214187,0.9109874826147427,0.7124478442280946,0.8889370932754881,0.7124478442280946,0.7600812300551204,0.9109874826147427,0.5992698191933241
0.44999999999999996,predict_proba,0.8151947148817803,0.8151947148817803,0.8139365265570713,0.8139365265570713,0.8239573008110321,0.8151947148817803,0.8974269819193325,0.7329624478442281,0.8772367873491469,0.7329624478442281,0.7706778142729173,0.8974269819193325,0.5822322670375522
0.49999999999999994,predict_proba,0.8218011126564673,0.8218011126564673,0.8212650781253623,0.8212650781253623,0.8257083722510756,0.8218011126564673,0.8765646731571627,0.7670375521557719,0.8613822725497853,0.7670375521557719,0.790034471952366,0.8765646731571627,0.5547635605006954
0.5499999999999999,predict_proba,0.8197148817802503,0.8197148817802504,0.8196592787071368,0.8196592787071368,0.8201096696293202,0.8197148817802504,0.8372739916550765,0.8021557719054242,0.8313513513513513,0.8021557719054242,0.8088679879072892,0.8372739916550765,0.5175591098748261
0.6,predict_proba,0.8134561891515995,0.8134561891515995,0.8133986557885804,0.8133986557885804,0.8138432486904102,0.8134561891515995,0.7958970792767733,0.8310152990264256,0.8028216325159556,0.8310152990264256,0.8248648648648649,0.7958970792767733,0.4824408901251738
0.65,predict_proba,0.8035465924895688,0.8035465924895688,0.8027653919985338,0.8027653919985338,0.8084331204181845,0.8035465924895688,0.7406119610570236,0.866481223922114,0.7696108709079679,0.866481223922114,0.847255369928401,0.7406119610570236,0.4370653685674548
0.7,predict_proba,0.7901599443671766,0.7901599443671766,0.7879667457862116,0.7879667457862117,0.8026833515971634,0.7901599443671766,0.6884561891515995,0.8918636995827538,0.7411152845998267,0.8918636995827538,0.8642514185945002,0.6884561891515995,0.3982962447844228
0.75,predict_proba,0.7666898470097357,0.7666898470097357,0.7616304226319401,0.7616304226319401,0.7914326239785487,0.7666898470097357,0.6210013908205841,0.9123783031988874,0.7065158858373721,0.9123783031988874,0.8763493621197253,0.6210013908205841,0.3543115438108484
0.7999999999999999,predict_proba,0.7360917941585535,0.7360917941585536,0.724620014086378,0.724620014086378,0.7832983708346027,0.7360917941585536,0.5319888734353269,0.9401947148817803,0.6676543209876543,0.9401947148817803,0.8989424206815512,0.5319888734353269,0.2958970792767733
0.85,predict_proba,0.6903685674547984,0.6903685674547984,0.6650646998197833,0.6650646998197832,0.7728101992180969,0.6903685674547984,0.4155076495132128,0.9652294853963839,0.622840475656271,0.9652294853963839,0.9227799227799228,0.4155076495132128,0.22513908205841446
0.9,predict_proba,0.6361265646731572,0.6361265646731572,0.5852258302151032,0.5852258302151032,0.7673744066645912,0.6361265646731572,0.2858136300417246,0.9864394993045897,0.5800449805765692,0.9864394993045897,0.9547038327526133,0.2858136300417246,0.14968706536856746
0.95,predict_proba,0.5747566063977747,0.5747566063977747,0.4825587929822084,0.4825587929822084,0.760223079616462,0.5747566063977747,0.15264255910987481,0.9968706536856745,0.5405354449472096,0.9968706536856745,0.9799107142857143,0.15264255910987481,0.07788595271210014
