mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
2.079257011413574,0.028863330339075385,0.11994638442993164,0.0013564459387804266,0.9,0.3,0.1,800,5,0.05,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.8168646769052449,0.8143533275379117,0.8260239567233385,0.8147217928902627,0.8159775888717156,0.8175882685856948,0.004311849601082079,50,0.8168603835356658,0.8143571136631857,0.8260239567233385,0.8147217928902628,0.8159775888717156,0.8175881671368337,0.004311426333290644,50,0.8165008427245058,0.8140687963354787,0.825653787123418,0.8143259174556008,0.8156813671463179,0.8172461421570641,0.00429687618475715,50,0.8165016319526636,0.8140680937892999,0.8256537871234181,0.8143259174556009,0.815681367146318,0.8172461594934601,0.004296952731700715,50,0.8193879632977497,0.8162980223359195,0.828816512405186,0.8174289520727197,0.8180219838263636,0.8199906867875877,0.004523992048820646,46,0.8168603835356658,0.8143571136631857,0.8260239567233385,0.8147217928902628,0.8159775888717156,0.8175881671368337,0.004311426333290644,50
2.5198278427124023,0.826032726806277,0.16049642562866212,0.0758365398130843,0.9,1,0.1,800,5,0.05,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.8194726166328601,0.8163817251038347,0.8267967542503863,0.8149149922720247,0.8161707882534776,0.8187473753025166,0.0042951306804298525,4,0.8194682206609367,0.816385464599544,0.8267967542503865,0.8149149922720247,0.8161707882534777,0.8187472440072738,0.004294571039660848,3,0.8190966075980846,0.8161072188546841,0.8264062294726356,0.8145261344134633,0.8158833854036682,0.8184039151485072,0.00427040805688658,3,0.8190974042273955,0.8161065325890612,0.8264062294726358,0.8145261344134633,0.8158833854036682,0.8184039372212448,0.004270507742421187,3,0.82214083474575,0.8182907319455445,0.8297641666756121,0.8175782852711895,0.8181573406696554,0.8211862718615504,0.0045840508842647275,6,0.8194682206609367,0.816385464599544,0.8267967542503865,0.8149149922720247,0.8161707882534777,0.8187472440072738,0.004294571039660848,3
2.759752607345581,0.26318320980130167,0.12309656143188477,0.0018737408361949382,1.0,3,0.3,800,7,0.05,0.4,"{'model__subsample': 1.0, 'model__reg_lambda': 3, 'model__reg_alpha': 0.3, 'model__n_estimators': 800, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.4}",0.8191828455520139,0.8154158215010142,0.8249613601236476,0.8150115919629057,0.8159775888717156,0.8181098416022593,0.003728217814605112,29,0.8191786828198317,0.8154193743937562,0.8249613601236476,0.8150115919629057,0.8159775888717156,0.8181097196343714,0.0037274654621505007,29,0.8188451443569554,0.815166812688118,0.8246240470118922,0.8146343547898531,0.8157279795371919,0.8177996676768021,0.003712363064396441,29,0.8188458998406132,0.8151661574017682,0.8246240470118923,0.8146343547898532,0.8157279795371919,0.8177996877162638,0.0037124985881906007,29,0.8215711557672938,0.8171328477948527,0.8274808293141285,0.8175969551219633,0.8176989707389322,0.8202961517474341,0.00393148141285986,34,0.8191786828198317,0.8154193743937562,0.8249613601236476,0.8150115919629057,0.8159775888717156,0.8181097196343714,0.0037274654621505007,29
2.4519413471221925,0.019720369528318432,0.11967673301696777,0.002785886177901884,0.9,0.3,0,1000,5,0.015,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0, 'model__n_estimators': 1000, 'model__max_depth': 5, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.6}",0.817057857625809,0.8168646769052449,0.8268933539412674,0.8135625965996909,0.8160741885625966,0.8180905347269217,0.004574421297891169,30,0.8170535082798456,0.8168682764599933,0.8268933539412674,0.8135625965996909,0.8160741885625966,0.8180903847686789,0.004574425443035347,30,0.8166848655074503,0.816611069372448,0.826504638761262,0.813170897399783,0.8157823941045006,0.8177507730290887,0.004558838117267044,30,0.8166856642057766,0.8166104106515837,0.8265046387612622,0.8131708973997831,0.8157823941045006,0.8177508010245813,0.004558833727636917,30,0.8196495065754201,0.8186354111009563,0.8298494558145653,0.8162144521442579,0.8180895609940216,0.8204876773258443,0.004812228844103419,32,0.8170535082798456,0.8168682764599933,0.8268933539412674,0.8135625965996909,0.8160741885625966,0.8180903847686789,0.004574425443035347,30
2.3805948734283446,0.015064642970940937,0.12066726684570313,0.0018323632831800433,1.0,1,0.1,600,7,0.015,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8174442190669371,0.815029460059886,0.8254443585780525,0.8125965996908809,0.8166537867078826,0.8174336848207279,0.004334903351565859,56,0.8174400563185341,0.815033162224188,0.8254443585780525,0.812596599690881,0.8166537867078825,0.8174335927039078,0.004334491364765895,55,0.817103270745003,0.8147584431643844,0.825047564387696,0.8122127959748985,0.816357227115351,0.8170958602774666,0.004314697390626363,57,0.8171040334929269,0.8147577587782846,0.825047564387696,0.8122127959748985,0.8163572271153511,0.8170958759498314,0.004314771827305145,57,0.8198194970144894,0.8168923575787925,0.8284238351265618,0.8151732322864349,0.8187125064618122,0.8198042856936183,0.004591619032723435,52,0.8174400563185341,0.815033162224188,0.8254443585780525,0.812596599690881,0.8166537867078825,0.8174335927039078,0.004334491364765895,55
4.3135254859924315,0.025865089122345114,0.1262446403503418,0.0025150138465577414,0.9,1,0,800,9,0.015,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 800, 'model__max_depth': 9, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.6}",0.8164783154641166,0.8146430986187578,0.8235123647604328,0.812306800618238,0.8165571870170015,0.8166995532957093,0.003741895143188681,86,0.8164740780691198,0.8146464089321481,0.8235123647604328,0.812306800618238,0.8165571870170016,0.8166993678793879,0.003741582151447282,86,0.8161231609044377,0.8144261330027651,0.8231797234208766,0.8119747945212343,0.8163288490396292,0.8164065321777887,0.0037289337112079136,85,0.8161239414639094,0.8144255201055448,0.8231797234208765,0.8119747945212344,0.816328849039629,0.8164065657102387,0.0037289869744541,85,0.8189327120674557,0.8161290073422744,0.8259652398749501,0.8145283180795129,0.818139215870086,0.8187388986468557,0.003928300191060488,86,0.8164740780691198,0.8146464089321481,0.8235123647604328,0.812306800618238,0.8165571870170016,0.8166993678793879,0.003741582151447282,86
2.313166046142578,0.0024734191148776375,0.12114977836608887,0.0020436199064233665,0.9,1,0,600,7,0.03,0.4,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.4}",0.8173476287066551,0.8151260504201681,0.8277627511591963,0.8143353941267388,0.8173299845440495,0.8183803617913616,0.0048404827474973836,16,0.8173432886930929,0.8151296872774867,0.8277627511591963,0.8143353941267388,0.8173299845440494,0.818380221160113,0.004840179569532418,16,0.81697682378209,0.8148646802292012,0.8273869836061449,0.8139616366021333,0.8170795978946004,0.8180539444228339,0.004819409711264881,15,0.8169776195008124,0.8148640083263968,0.827386983606145,0.8139616366021334,0.8170795978946004,0.8180539691860176,0.00481946309224833,15,0.8199304410299952,0.8169239948804332,0.8306418966380619,0.8168819010463702,0.8190770314101481,0.8206910530010016,0.005116703056707809,19,0.8173432886930929,0.8151296872774867,0.8277627511591963,0.8143353941267388,0.8173299845440494,0.818380221160113,0.004840179569532418,16
2.413023090362549,0.011870143978091862,0.11900553703308106,0.002476709067052574,1.0,3,0,600,7,0.015,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 3, 'model__reg_alpha': 0, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8174442190669371,0.8139669660967835,0.8259273570324575,0.8125,0.8156877897990726,0.8171052663990501,0.0047119172182887815,72,0.8174400003403474,0.8139706775808706,0.8259273570324575,0.8125,0.8156877897990726,0.8171051649505496,0.004711362764228852,72,0.817094038665388,0.8136930120436898,0.8255268192353369,0.8121466027147901,0.8153867895800305,0.8167694524478473,0.0046806796746635395,73,0.8170948116905569,0.8136923219831028,0.8255268192353369,0.8121466027147902,0.8153867895800306,0.8167694690407636,0.004680781128050937,73,0.8198843152123341,0.8158330163067655,0.8289480187576097,0.8148693792163223,0.8177601414353907,0.8194589741856844,0.005046203862566293,64,0.8174400003403474,0.8139706775808706,0.8259273570324575,0.8125,0.8156877897990726,0.8171051649505496,0.004711362764228852,72
4.821263456344605,0.06138529709737344,0.13158655166625977,0.003971334237140557,0.9,3,0.1,1000,9,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 3, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 9, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.8160919540229885,0.8135806046556554,0.8238987635239567,0.813079598145286,0.8142387944358578,0.8161779429567488,0.003993110770686675,100,0.8160880151747161,0.8135837936730617,0.8238987635239567,0.813079598145286,0.8142387944358578,0.8161777929905757,0.003992713493037041,101,0.8157844331254192,0.8133781448422357,0.8236097927042387,0.8127787115108269,0.8139973104358313,0.8159096785237103,0.003979352050842201,101,0.815785160125177,0.8133775511184428,0.8236097927042387,0.8127787115108269,0.8139973104358313,0.8159097051789033,0.003979423037501901,101,0.8182077971883766,0.8149545363055496,0.8260352694106028,0.8151052429169197,0.8158791959146396,0.8180364083472178,0.004165438367962513,100,0.8160880151747161,0.8135837936730617,0.8238987635239567,0.813079598145286,0.8142387944358578,0.8161777929905757,0.003992713493037041,101
2.7800262451171873,0.01234437151858711,0.1252291679382324,0.0016718272565940558,0.9,3,0,800,7,0.05,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 3, 'model__reg_alpha': 0, 'model__n_estimators': 800, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.817251038346373,0.8127112914131169,0.8247681607418856,0.812886398763524,0.8153979907264297,0.8166029759982658,0.004415888845111588,89,0.81724695023375,0.8127147696430443,0.8247681607418856,0.812886398763524,0.8153979907264297,0.8166028540217267,0.004415156376549892,89,0.816921858599224,0.8124691739479837,0.8244062042618514,0.8125584597315212,0.8151631395235532,0.8163037672128268,0.004383240542274322,89,0.8169226084391946,0.8124685230945826,0.8244062042618513,0.8125584597315211,0.8151631395235533,0.8163037870101405,0.0043833755872953895,89,0.8195398827313469,0.8143424999200972,0.8274682390821915,0.815091476542154,0.8170091407499921,0.8186902478051563,0.004742471878121756,88,0.81724695023375,0.8127147696430443,0.8247681607418856,0.812886398763524,0.8153979907264297,0.8166028540217267,0.004415156376549892,89
3.4139527797698976,0.025629444919401105,0.1266634464263916,0.0021112264499664134,0.9,0.3,0,1000,7,0.015,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0, 'model__n_estimators': 1000, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.6}",0.8175408094272192,0.8153192311407321,0.8256375579598145,0.8156877897990726,0.8169435857805255,0.8182257948214728,0.0037930747358268123,25,0.8175365067342506,0.8153228120216665,0.8256375579598145,0.8156877897990726,0.8169435857805255,0.8182256504590659,0.0037926821495150908,25,0.8171767410404478,0.8150661373090957,0.8252476229014184,0.8153388487682903,0.8166873936793491,0.8179033487397203,0.003756894920681225,25,0.8171775290672589,0.8150654764896919,0.8252476229014184,0.8153388487682903,0.8166873936793492,0.8179033741812018,0.0037569642765315162,25,0.8200805810593695,0.8170630280670101,0.828570188410565,0.8180920937326381,0.8187253490429318,0.8205062480625029,0.004148827128679499,30,0.8175365067342506,0.8153228120216665,0.8256375579598145,0.8156877897990726,0.8169435857805255,0.8182256504590659,0.0037926821495150908,25
3.30027437210083,0.0229759700587163,0.12413129806518555,0.004468651779193882,0.9,1,0.1,600,9,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 600, 'model__max_depth': 9, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.8157055925818604,0.8120351588911426,0.8233191653786708,0.8138523956723338,0.8151081916537867,0.816004100835559,0.0038674090804309497,104,0.8157016723893789,0.812038366553526,0.8233191653786708,0.8138523956723338,0.8151081916537867,0.8160039583295392,0.003866811836656546,104,0.8154003376664679,0.8118286164097683,0.822986159899717,0.8135410696688952,0.8148843197037092,0.8157281006697115,0.0038337423174550343,104,0.8154010627375259,0.8118280142450996,0.8229861598997172,0.8135410696688952,0.8148843197037092,0.8157281252509894,0.0038338524392287094,104,0.8177987336421515,0.8134184478989556,0.8257705756528688,0.8159626164796718,0.8166399213603979,0.8179180590068091,0.004180434132032826,105,0.8157016723893789,0.812038366553526,0.8233191653786708,0.8138523956723338,0.8151081916537867,0.8160039583295392,0.003866811836656546,104
2.3284268379211426,0.012339809865072302,0.12095446586608886,0.0024250621812448576,0.9,1,0,600,7,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.8169612672655269,0.817057857625809,0.8255409582689336,0.8154945904173106,0.8167503863987635,0.8183610119952688,0.0036337202034966193,18,0.8169568152919866,0.8170615504793375,0.8255409582689335,0.8154945904173108,0.8167503863987635,0.8183608601712663,0.0036337992367508477,17,0.81657025252177,0.8167911667410268,0.8251524048087195,0.8150802790368364,0.816504431501911,0.8180197069220527,0.0036172338621833213,17,0.8165710705442465,0.81679049157423,0.8251524048087197,0.8150802790368366,0.8165044315019111,0.8180197354931886,0.0036172141975857504,17,0.8196769168612669,0.8189232346631716,0.8284606327490793,0.8183476130881708,0.818457812010094,0.8207732418743566,0.0038720879158723872,16,0.8169568152919866,0.8170615504793375,0.8255409582689335,0.8154945904173108,0.8167503863987635,0.8183608601712663,0.0036337992367508477,17
2.8494741439819338,0.033888345498258206,0.12304167747497559,0.003248883808180536,1.0,1,0.1,800,7,0.015,0.6,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.6}",0.8183135323094756,0.8158021829421424,0.8250579598145286,0.8145285935085008,0.8161707882534776,0.8179746113656249,0.003745315869228026,35,0.8183094162176718,0.8158057731572802,0.8250579598145287,0.8145285935085007,0.8161707882534777,0.8179745061902919,0.0037448256447461907,34,0.8179817700367921,0.8155484292449371,0.8246794523534338,0.8141616472329571,0.8158861936580181,0.8176514985052277,0.003720738582507667,34,0.8179825206301691,0.8155477684280172,0.8246794523534337,0.8141616472329574,0.8158861936580181,0.817651516460519,0.0037208266361659532,34,0.8206418462604925,0.8175578062880681,0.8278895420735579,0.8170325744291363,0.81813783920851,0.820251921651953,0.004014401216059828,37,0.8183094162176718,0.8158057731572802,0.8250579598145287,0.8145285935085007,0.8161707882534777,0.8179745061902919,0.0037448256447461907,34
4.243717765808105,0.06582529664870215,0.1276622772216797,0.0019894795930892554,1.0,1,0.1,800,9,0.015,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 9, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8160919540229885,0.8133874239350912,0.8249613601236476,0.8144319938176198,0.8160741885625966,0.8169893840923887,0.004116059460756684,77,0.8160876606462002,0.813391191391958,0.8249613601236476,0.8144319938176198,0.8160741885625966,0.8169892789084046,0.00411558806358754,77,0.8157265846769299,0.8131042344485537,0.8246089935083587,0.8140822379263841,0.8158154458471354,0.8166674992814723,0.00410022141956512,78,0.8157273772351643,0.8131035317451131,0.8246089935083586,0.8140822379263841,0.8158154458471354,0.8166675172524311,0.004100307206668982,78,0.8186090764356369,0.8153069798981277,0.8275939505593084,0.8168160214371342,0.8178603109739362,0.8192372678608286,0.004322831899857337,77,0.8160876606462002,0.813391191391958,0.8249613601236476,0.8144319938176198,0.8160741885625966,0.8169892789084046,0.00411558806358754,77
2.394863319396973,0.026284968306985238,0.12384166717529296,0.004180035430417725,0.9,0.3,0.1,1000,5,0.05,0.6,"{'model__subsample': 0.9, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.8177339901477833,0.814932869699604,0.8267001545595054,0.8140455950540958,0.8150115919629057,0.8176848402847788,0.004674227459639427,46,0.8177296314784301,0.814936562533307,0.8267001545595054,0.8140455950540958,0.8150115919629057,0.817684707117649,0.00467378413436332,46,0.8173607801051153,0.8146630810326334,0.8263329714017167,0.8136365268292522,0.8147391235253962,0.8173464965788227,0.004658753535821004,47,0.8173615775624713,0.8146623980233499,0.8263329714017167,0.8136365268292521,0.8147391235253962,0.8173465194684372,0.0046588327296418295,47,0.820342422994164,0.8167857694664495,0.8294866814232582,0.8168273418439569,0.8168757446251538,0.8200635920705965,0.004904124132223437,44,0.8177296314784301,0.814936562533307,0.8267001545595054,0.8140455950540958,0.8150115919629057,0.817684707117649,0.00467378413436332,46
1.7173430919647217,0.012518442641956935,0.1187582015991211,0.002198104622677581,0.9,0.3,0.1,600,5,0.03,0.4,"{'model__subsample': 0.9, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0.1, 'model__n_estimators': 600, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.4}",0.8185067130300396,0.8178305805080653,0.8255409582689336,0.8139489953632149,0.8162673879443586,0.8184189270229224,0.0038906708039306726,12,0.8185022983897091,0.8178343293469899,0.8255409582689335,0.8139489953632149,0.8162673879443586,0.8184187938626412,0.0038905383601000117,12,0.8181254750785979,0.8175568748217219,0.825139531375704,0.8135447732091867,0.8159527810244687,0.8180638871019358,0.0038782665113687434,14,0.8181262793780736,0.8175561922639006,0.825139531375704,0.8135447732091866,0.8159527810244687,0.8180639114502666,0.0038782869408178246,14,0.821189675578947,0.819757949611319,0.8285580388894916,0.8166952901073443,0.8184447623463081,0.820929143306682,0.004092365604883615,12,0.8185022983897091,0.8178343293469899,0.8255409582689335,0.8139489953632149,0.8162673879443586,0.8184187938626412,0.0038905383601000117,12
4.229470300674438,0.05508417844695764,0.1264488697052002,0.002490591659492742,1.0,1,0,800,9,0.015,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 800, 'model__max_depth': 9, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8171544479860909,0.8130976528542452,0.8248647604327666,0.8127897990726429,0.8164605873261206,0.8168734495343732,0.004359892358095722,81,0.8171500706519355,0.8131013736599195,0.8248647604327666,0.8127897990726429,0.8164605873261206,0.816873318228677,0.004359192166686042,81,0.8167768378338489,0.8128210282705997,0.8245076163101848,0.8124540557599808,0.8161997156874394,0.8165518507724107,0.004340041107912024,81,0.8167776412597048,0.8128203332339574,0.8245076163101847,0.8124540557599809,0.8161997156874393,0.8165518724502535,0.004340168956517284,81,0.8197806441533366,0.8149679679097208,0.8275309905167625,0.815045769162693,0.8182674824568423,0.8191185708398712,0.0045988414957177206,80,0.8171500706519355,0.8131013736599195,0.8248647604327666,0.8127897990726429,0.8164605873261206,0.816873318228677,0.004359192166686042,81
5.09985761642456,0.05120349206539121,0.13104248046875,0.005333336604333284,0.9,1,0,1000,9,0.015,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 1000, 'model__max_depth': 9, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8164783154641166,0.812807881773399,0.8246715610510046,0.8136591962905718,0.8156877897990726,0.8166609488756329,0.004219169246468899,87,0.8164742273442844,0.8128113693339253,0.8246715610510046,0.8136591962905719,0.8156877897990726,0.8166608287637718,0.004218568290320629,87,0.81614774383643,0.8125645846980181,0.8243170849925596,0.8133079838417465,0.8154596265798914,0.8163594047897291,0.004192634129680572,88,0.8161484968469715,0.8125639324270386,0.8243170849925595,0.8133079838417465,0.8154596265798915,0.8163594249376416,0.004192744625026438,88,0.8187615749137249,0.8144484021810693,0.8273132455690742,0.8160373645488095,0.8172567978369359,0.8187634770099228,0.004503780369702274,85,0.8164742273442844,0.8128113693339253,0.8246715610510046,0.8136591962905719,0.8156877897990726,0.8166608287637718,0.004218568290320629,87
2.3692930221557615,0.022019301222818165,0.12113232612609863,0.002620391199711286,1.0,0.3,0.3,600,7,0.015,0.4,"{'model__subsample': 1.0, 'model__reg_lambda': 0.3, 'model__reg_alpha': 0.3, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.4}",0.8162851347435526,0.8158987733024244,0.8256375579598145,0.8134659969088099,0.8155911901081917,0.8173757306045586,0.004244978110833363,62,0.8162810279625223,0.8159022235729967,0.8256375579598145,0.8134659969088098,0.8155911901081917,0.8173755993024671,0.004244949713795072,61,0.8159511875712495,0.8156646044975823,0.8252940914178902,0.8131175512680213,0.8153168277098999,0.8170688524929286,0.0042322101765529235,59,0.8159519448210734,0.8156639698937751,0.8252940914178902,0.8131175512680214,0.8153168277098998,0.8170688770221319,0.00423221231614977,59,0.8185880316570353,0.8175200308541509,0.8282186296276998,0.8158214154346818,0.8174777497932451,0.8195251714733626,0.004435871480321535,61,0.8162810279625223,0.8159022235729967,0.8256375579598145,0.8134659969088098,0.8155911901081917,0.8173755993024671,0.004244949713795072,61
2.4012217998504637,0.009176070718301163,0.11984329223632813,0.004080675826141272,1.0,1,0.3,600,7,0.015,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0.3, 'model__n_estimators': 600, 'model__max_depth': 7, 'model__learning_rate': 0.015, 'model__colsample_bytree': 0.8}",0.8176373997875012,0.8140635564570656,0.8245749613601236,0.8127897990726429,0.8166537867078826,0.8171439006770432,0.004102466020466312,71,0.8176331997221093,0.8140672959311471,0.8245749613601236,0.8127897990726429,0.8166537867078825,0.8171438085587811,0.004101804130754554,71,0.8172906778169864,0.8137855845845696,0.8241778106325144,0.8124096676600209,0.8163629117701379,0.8168053304928458,0.004079840115776349,71,0.8172914466018434,0.8137848896548886,0.8241778106325144,0.812409667660021,0.8163629117701378,0.816805345263881,0.004079961303782757,71,0.82005726501081,0.8159586033088159,0.8275343260770912,0.8153458554321509,0.8186728548100253,0.8195137809277785,0.004366750897765232,62,0.8176331997221093,0.8140672959311471,0.8245749613601236,0.8127897990726429,0.8166537867078825,0.8171438085587811,0.004101804130754554,71
