attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.09383552256604344,0.08965418981905518,0.09225146198830414
flight_type,f1_macro,30,2,2,0.011795068022004473,0.012399617150432252,0.043705385379958384
gender,f1_macro,30,2,2,0.017235551121217663,0.01678382724557778,0.0038320772528204206
nationality,f1_macro,30,2,2,0.014370144323961997,0.010778297669931103,0.009885804784529495
process,f1_macro,30,2,2,0.08519802298332091,0.0809373752769979,0.025345489880209127
trip_purpose,f1_macro,30,14,8,0.1532629408651338,0.1531127518002005,0.1716118684843625
