attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.08513284845739943,0.083362149221971,0.08450340253251787
flight_type,f1_macro,30,2,2,0.014261877376631427,0.014517573716455873,0.08486378422336671
gender,f1_macro,30,2,2,0.010482693576929547,0.010494395879429796,0.020702115476872063
nationality,f1_macro,30,2,2,0.01249880933708103,0.01212431982026052,0.06378261231974669
process,f1_macro,30,2,2,0.06400801712870463,0.06025208289359235,0.03721771552176245
trip_purpose,f1_macro,30,14,8,0.12898682683740348,0.12957797830644427,0.11449016100178888
