metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8042420027816412,0.8039273296244783,0.005327243553661751,0.7934631432545202,0.8139777468706537,0.95,1000,1000,0
balanced_accuracy,0.8042420027816412,0.8040032794393547,0.005165274368624247,0.7939000959956769,0.8138621531392491,0.95,1000,1000,0
f1_weighted,0.8037836635844042,0.803647364878962,0.005317801566094741,0.7936429766968527,0.8140949636923751,0.95,1000,1000,0
f1_macro,0.8037836635844041,0.8037180382232013,0.005080563574427517,0.7941218589154317,0.8135899801411405,0.95,1000,1000,0
precision_weighted,0.8071115140030158,0.8070765046257865,0.005138089463042152,0.7967153576638953,0.8168104335466133,0.95,1000,1000,0
recall_weighted,0.8042420027816412,0.8040641515994437,0.005245633360314023,0.7934587969401947,0.8141559457579972,0.95,1000,1000,0
sensitivity,0.8525730180806675,0.8525597798168476,0.006516701400483828,0.8400823964313902,0.864969774810748,0.95,1000,1000,0
specificity,0.7559109874826148,0.7557652846373054,0.008016794569722378,0.7405505679318938,0.7707501496503292,0.95,1000,1000,0
