metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8143254520166898,0.8140883171070932,0.005264365056948425,0.8037204450625869,0.8245827538247567,0.95,1000,1000,0
balanced_accuracy,0.8143254520166898,0.8142775303199884,0.004905336267176291,0.804062340809269,0.8239713833904934,0.95,1000,1000,0
f1_weighted,0.8139511444037877,0.8139245744814182,0.005041925853247286,0.8037409918964937,0.8235991081873971,0.95,1000,1000,0
f1_macro,0.8139511444037877,0.8140721807640591,0.005040772243103414,0.8042685778497405,0.8246714837706614,0.95,1000,1000,0
precision_weighted,0.816875511590028,0.8171958017281777,0.005121691905205425,0.807257165560853,0.8275717069147552,0.95,1000,1000,0
recall_weighted,0.8143254520166898,0.8142216620305981,0.00507756549444785,0.8042420027816412,0.8245827538247567,0.95,1000,1000,0
sensitivity,0.8591794158553546,0.8592654755668414,0.00640742626538855,0.846768520190022,0.8722544252824059,0.95,1000,1000,0
specificity,0.769471488178025,0.7696907362697001,0.007926610526653985,0.7534669415957692,0.7847880556035411,0.95,1000,1000,0
