false_positive_rate,true_positive_rate,threshold,score_source
0.0,0.0,inf,predict_proba
0.0,0.0003477051460361613,0.9927261,predict_proba
0.0,0.01912378303198887,0.9792322,predict_proba
0.0003477051460361613,0.01912378303198887,0.97920257,predict_proba
0.0003477051460361613,0.06641168289290682,0.9669411,predict_proba
0.0006954102920723226,0.06641168289290682,0.9669008,predict_proba
0.0006954102920723226,0.0702364394993046,0.9664208,predict_proba
0.001043115438108484,0.0702364394993046,0.9662696,predict_proba
0.001043115438108484,0.07197496522948539,0.9658748,predict_proba
0.0013908205841446453,0.07197496522948539,0.965688,predict_proba
0.0013908205841446453,0.10222531293463143,0.9585457,predict_proba
0.0017385257301808068,0.10222531293463143,0.95838404,predict_proba
0.0017385257301808068,0.10326842837273992,0.95828617,predict_proba
0.002086230876216968,0.10326842837273992,0.957961,predict_proba
0.002086230876216968,0.11022253129346314,0.9565216,predict_proba
0.0024339360222531293,0.11022253129346314,0.956254,predict_proba
0.0024339360222531293,0.11856745479833102,0.9542979,predict_proba
0.0027816411682892906,0.11856745479833102,0.95409906,predict_proba
0.0027816411682892906,0.12169680111265646,0.95329285,predict_proba
0.003129346314325452,0.12169680111265646,0.9532613,predict_proba
0.003129346314325452,0.13908205841446453,0.9491481,predict_proba
0.0034770514603616135,0.13908205841446453,0.9490691,predict_proba
0.0034770514603616135,0.14534075104311545,0.947215,predict_proba
0.0038247566063977748,0.14534075104311545,0.9471181,predict_proba
0.0038247566063977748,0.14847009735744088,0.945785,predict_proba
0.004172461752433936,0.14847009735744088,0.9455799,predict_proba
0.004172461752433936,0.14916550764951322,0.9453843,predict_proba
0.004520166898470098,0.14916550764951322,0.94514626,predict_proba
0.004520166898470098,0.15229485396383866,0.94464415,predict_proba
0.004867872044506259,0.15229485396383866,0.94425154,predict_proba
0.004867872044506259,0.16307371349095967,0.9415202,predict_proba
0.00521557719054242,0.16307371349095967,0.94148785,predict_proba
0.00521557719054242,0.16863699582753824,0.93948835,predict_proba
0.005563282336578581,0.16863699582753824,0.9394416,predict_proba
0.005563282336578581,0.17767732962447844,0.93700534,predict_proba
0.006258692628650904,0.17767732962447844,0.936755,predict_proba
0.006258692628650904,0.18463143254520167,0.9349923,predict_proba
0.006606397774687065,0.18463143254520167,0.9349086,predict_proba
0.006606397774687065,0.206884561891516,0.92721546,predict_proba
0.006954102920723227,0.206884561891516,0.9271363,predict_proba
0.006954102920723227,0.22287899860917942,0.92081136,predict_proba
0.007301808066759388,0.22287899860917942,0.92068857,predict_proba
0.007301808066759388,0.22461752433936022,0.92041105,predict_proba
0.0076495132127955496,0.22461752433936022,0.92039603,predict_proba
0.0076495132127955496,0.22739916550764952,0.9189158,predict_proba
0.007997218358831711,0.22739916550764952,0.91881067,predict_proba
0.007997218358831711,0.22774687065368568,0.9187249,predict_proba
0.008344923504867872,0.22774687065368568,0.91845596,predict_proba
0.008344923504867872,0.22983310152990263,0.9172827,predict_proba
0.009040333796940195,0.22983310152990263,0.91692084,predict_proba
0.009040333796940195,0.23157162726008346,0.9161796,predict_proba
0.009388038942976356,0.23157162726008346,0.9159717,predict_proba
0.009388038942976356,0.23191933240611962,0.91593117,predict_proba
0.009735744089012517,0.23191933240611962,0.9158008,predict_proba
0.009735744089012517,0.23783031988873435,0.9142448,predict_proba
0.010083449235048678,0.23783031988873435,0.9142058,predict_proba
0.010083449235048678,0.23991655076495133,0.91351986,predict_proba
0.01043115438108484,0.23991655076495133,0.9133579,predict_proba
0.01043115438108484,0.2402642559109875,0.91329896,predict_proba
0.010778859527121001,0.2402642559109875,0.91317487,predict_proba
0.010778859527121001,0.24165507649513213,0.91269577,predict_proba
0.011126564673157162,0.24165507649513213,0.9125778,predict_proba
0.011126564673157162,0.24478442280945759,0.91068894,predict_proba
0.011474269819193325,0.24478442280945759,0.9103203,predict_proba
0.011474269819193325,0.24652294853963838,0.909658,predict_proba
0.011821974965229486,0.24652294853963838,0.9095702,predict_proba
0.011821974965229486,0.2506954102920723,0.90697205,predict_proba
0.012169680111265646,0.2506954102920723,0.90659493,predict_proba
0.012169680111265646,0.2583449235048679,0.9035225,predict_proba
0.012517385257301807,0.2583449235048679,0.90349454,predict_proba
0.012517385257301807,0.2614742698191933,0.9022475,predict_proba
0.01286509040333797,0.2614742698191933,0.9021292,predict_proba
0.01286509040333797,0.2639082058414465,0.90040153,predict_proba
0.01321279554937413,0.2639082058414465,0.90039986,predict_proba
0.01321279554937413,0.26842837273991654,0.8993553,predict_proba
0.01321279554937413,0.26912378303198886,0.89923525,predict_proba
0.01321279554937413,0.273643949930459,0.89754903,predict_proba
0.013560500695410291,0.273643949930459,0.89752865,predict_proba
0.013560500695410291,0.2795549374130737,0.8953042,predict_proba
0.013908205841446454,0.2795549374130737,0.8952049,predict_proba
0.013908205841446454,0.2816411682892907,0.8943162,predict_proba
0.013908205841446454,0.282336578581363,0.8942653,predict_proba
0.013908205841446454,0.2840751043115438,0.89394057,predict_proba
0.014255910987482615,0.2840751043115438,0.8937546,predict_proba
0.014255910987482615,0.28442280945758,0.89370936,predict_proba
0.014951321279554937,0.28442280945758,0.89321554,predict_proba
0.014951321279554937,0.2851182197496523,0.8931502,predict_proba
0.015299026425591099,0.2851182197496523,0.89302963,predict_proba
0.015299026425591099,0.2906815020862309,0.8909735,predict_proba
0.01564673157162726,0.2906815020862309,0.89096034,predict_proba
0.01564673157162726,0.29346314325452016,0.89001095,predict_proba
0.015994436717663423,0.29450625869262864,0.8897286,predict_proba
0.015994436717663423,0.2979833101529903,0.8884431,predict_proba
0.01634214186369958,0.2979833101529903,0.88831687,predict_proba
0.01634214186369958,0.2986787204450626,0.8879999,predict_proba
0.016689847009735744,0.30006954102920724,0.8876757,predict_proba
0.016689847009735744,0.303894297635605,0.8863791,predict_proba
0.017037552155771907,0.303894297635605,0.8863574,predict_proba
0.017037552155771907,0.30424200278164115,0.8862187,predict_proba
0.017385257301808066,0.30424200278164115,0.886126,predict_proba
0.017385257301808066,0.30528511821974963,0.8858193,predict_proba
0.01773296244784423,0.30528511821974963,0.8858175,predict_proba
0.01773296244784423,0.3066759388038943,0.8851552,predict_proba
0.01773296244784423,0.30737134909596664,0.8851258,predict_proba
0.01842837273991655,0.30737134909596664,0.88495517,predict_proba
0.01842837273991655,0.3077190542420028,0.8846646,predict_proba
0.018776077885952713,0.3077190542420028,0.8845299,predict_proba
0.018776077885952713,0.30910987482614743,0.8836771,predict_proba
0.01912378303198887,0.3094575799721836,0.8836402,predict_proba
0.01912378303198887,0.3118915159944367,0.8833744,predict_proba
0.01912378303198887,0.312586926286509,0.8830636,predict_proba
0.019471488178025034,0.312586926286509,0.8827824,predict_proba
0.019471488178025034,0.31641168289290683,0.8810527,predict_proba
0.019819193324061197,0.31641168289290683,0.88104916,predict_proba
0.019819193324061197,0.31954102920723226,0.879681,predict_proba
0.019819193324061197,0.32058414464534074,0.8793236,predict_proba
0.019819193324061197,0.32127955493741306,0.8789757,predict_proba
0.019819193324061197,0.3219749652294854,0.8788693,predict_proba
0.019819193324061197,0.32232267037552154,0.8787626,predict_proba
0.020166898470097356,0.32232267037552154,0.87856287,predict_proba
0.020166898470097356,0.32301808066759385,0.87841,predict_proba
0.020166898470097356,0.32440890125173855,0.8780938,predict_proba
0.02051460361613352,0.3257997218358832,0.8778901,predict_proba
0.02051460361613352,0.32684283727399166,0.87748265,predict_proba
0.02051460361613352,0.327538247566064,0.87718123,predict_proba
0.02086230876216968,0.327538247566064,0.8771623,predict_proba
0.02086230876216968,0.3292767732962448,0.87627816,predict_proba
0.021557719054242003,0.3292767732962448,0.8759372,predict_proba
0.021557719054242003,0.33031988873435325,0.8753282,predict_proba
0.021557719054242003,0.33136300417246173,0.87491685,predict_proba
0.021905424200278165,0.3320584144645341,0.87473637,predict_proba
0.021905424200278165,0.3331015299026426,0.8744762,predict_proba
0.022253129346314324,0.3331015299026426,0.87444746,predict_proba
0.022253129346314324,0.3337969401947149,0.87421846,predict_proba
0.022600834492350487,0.33414464534075106,0.8741381,predict_proba
0.022600834492350487,0.33657858136300417,0.87294763,predict_proba
0.02294853963838665,0.33657858136300417,0.8728706,predict_proba
0.02294853963838665,0.33692628650904033,0.8728356,predict_proba
0.02364394993045897,0.33692628650904033,0.87272507,predict_proba
0.02364394993045897,0.33936022253129344,0.8722579,predict_proba
0.02364394993045897,0.34075104311543813,0.87209857,predict_proba
0.02364394993045897,0.3410987482614743,0.8720801,predict_proba
0.023991655076495134,0.3410987482614743,0.8719978,predict_proba
0.023991655076495134,0.34144645340751045,0.8719536,predict_proba
0.024339360222531293,0.34144645340751045,0.87136054,predict_proba
0.024339360222531293,0.3428372739916551,0.87069786,predict_proba
0.024687065368567455,0.3428372739916551,0.8706829,predict_proba
0.024687065368567455,0.34318497913769125,0.87057364,predict_proba
0.024687065368567455,0.34388038942976357,0.87053746,predict_proba
0.025034770514603615,0.3442280945757997,0.87049466,predict_proba
0.025034770514603615,0.347009735744089,0.86958486,predict_proba
0.025034770514603615,0.34840055632823363,0.86954,predict_proba
0.025034770514603615,0.3501390820584145,0.86887604,predict_proba
0.025034770514603615,0.35222531293463144,0.8688473,predict_proba
0.025034770514603615,0.3536161335187761,0.8678742,predict_proba
0.025034770514603615,0.3543115438108484,0.86751753,predict_proba
0.02573018080667594,0.3553546592489569,0.8673934,predict_proba
0.02573018080667594,0.35709318497913767,0.86625063,predict_proba
0.0260778859527121,0.35778859527121004,0.8661648,predict_proba
0.026773296244784424,0.35778859527121004,0.865665,predict_proba
0.026773296244784424,0.35848400556328236,0.8655364,predict_proba
0.026773296244784424,0.35952712100139084,0.8654099,predict_proba
0.026773296244784424,0.359874826147427,0.86527467,predict_proba
0.026773296244784424,0.3605702364394993,0.8651723,predict_proba
0.026773296244784424,0.36126564673157163,0.8648141,predict_proba
0.027121001390820583,0.36126564673157163,0.86460745,predict_proba
0.027468706536856746,0.36265646731571627,0.8642515,predict_proba
0.027468706536856746,0.3633518776077886,0.8642487,predict_proba
0.027468706536856746,0.36369958275382475,0.86424863,predict_proba
0.027816411682892908,0.36369958275382475,0.86423177,predict_proba
0.027816411682892908,0.3650904033379694,0.86402607,predict_proba
0.028164116828929067,0.36682892906815023,0.8638849,predict_proba
0.028164116828929067,0.36856745479833103,0.8628375,predict_proba
0.02851182197496523,0.36856745479833103,0.86269605,predict_proba
0.028859527121001392,0.36995827538247567,0.86253816,predict_proba
0.028859527121001392,0.3713490959666203,0.8613292,predict_proba
0.02920723226703755,0.3713490959666203,0.8610984,predict_proba
0.02920723226703755,0.3720445062586926,0.8608726,predict_proba
0.02920723226703755,0.37273991655076494,0.8606873,predict_proba
0.02920723226703755,0.3741307371349096,0.86054206,predict_proba
0.02920723226703755,0.37447844228094573,0.86039186,predict_proba
0.029554937413073714,0.37447844228094573,0.86038786,predict_proba
0.029554937413073714,0.3751738525730181,0.86020285,predict_proba
0.029902642559109873,0.3751738525730181,0.86014974,predict_proba
0.029902642559109873,0.3758692628650904,0.859926,predict_proba
0.029902642559109873,0.3762169680111266,0.85971355,predict_proba
0.030250347705146036,0.3776077885952712,0.85962486,predict_proba
0.030250347705146036,0.3796940194714882,0.85904783,predict_proba
0.030598052851182198,0.3803894297635605,0.85881925,predict_proba
0.030945757997218357,0.3803894297635605,0.8587811,predict_proba
0.030945757997218357,0.38143254520166897,0.85847867,predict_proba
0.03129346314325452,0.38143254520166897,0.8584068,predict_proba
0.03129346314325452,0.3828233657858136,0.85823053,predict_proba
0.03164116828929068,0.3828233657858136,0.85787594,predict_proba
0.03164116828929068,0.38386648122392214,0.85752463,predict_proba
0.031988873435326845,0.38386648122392214,0.8574827,predict_proba
0.03268428372739916,0.38386648122392214,0.85742843,predict_proba
0.03303198887343533,0.38386648122392214,0.85739106,predict_proba
0.03303198887343533,0.38560500695410294,0.85645574,predict_proba
0.03303198887343533,0.38630041724617525,0.856352,predict_proba
0.03303198887343533,0.38699582753824757,0.85584426,predict_proba
0.03337969401947149,0.38699582753824757,0.85568905,predict_proba
0.03372739916550765,0.38977746870653684,0.8556063,predict_proba
0.03372739916550765,0.39290681502086233,0.85494775,predict_proba
0.034075104311543813,0.39429763560500697,0.85493034,predict_proba
0.034075104311543813,0.3946453407510431,0.85480905,predict_proba
0.03442280945757997,0.3946453407510431,0.8545674,predict_proba
0.03442280945757997,0.3956884561891516,0.85409755,predict_proba
0.03442280945757997,0.3974269819193324,0.8540558,predict_proba
0.03442280945757997,0.39951321279554936,0.8532644,predict_proba
0.03442280945757997,0.4002086230876217,0.85294324,predict_proba
