metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8019819193324061,0.8018863004172462,0.005386881917134948,0.7913725660639778,0.8122435674547983,0.95,1000,1000,0
balanced_accuracy,0.801981919332406,0.801895271517039,0.0053378155212046455,0.7912747246713961,0.8121878311512499,0.95,1000,1000,0
f1_weighted,0.8016336908877207,0.8015372531433075,0.005402532890170107,0.7909058627109768,0.811972349225944,0.95,1000,1000,0
f1_macro,0.8016336908877209,0.8015124631443321,0.005390242919130752,0.7909767735063793,0.811936102326007,0.95,1000,1000,0
precision_weighted,0.8041174096388842,0.8040912708072951,0.005317025343869636,0.7933161406542087,0.8143698174876025,0.95,1000,1000,0
recall_weighted,0.8019819193324061,0.8018863004172462,0.005386881917134948,0.7913725660639778,0.8122435674547983,0.95,1000,1000,0
sensitivity,0.8438803894297635,0.8438881177499582,0.0067512500383437955,0.8303475068871827,0.857582046515759,0.95,1000,1000,0
specificity,0.7600834492350487,0.7599024252841196,0.00796823861626186,0.7432085177244836,0.7754990316928035,0.95,1000,1000,0
