threshold,score_source,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,sensitivity,specificity,precision_not_liked,recall_not_liked,precision_liked,recall_liked,pred_positive_rate
0.05,predict_proba,0.5778859527121002,0.5778859527121001,0.4890870712014955,0.48908707120149547,0.755545876749127,0.5778859527121001,0.9947844228094576,0.1609874826147427,0.9686192468619247,0.1609874826147427,0.5424725066363292,0.9947844228094576,0.9168984700973575
0.1,predict_proba,0.6566411682892906,0.6566411682892906,0.6148363902274727,0.6148363902274727,0.7768249646233798,0.6566411682892906,0.9860917941585535,0.3271905424200278,0.9592252803261978,0.3271905424200278,0.5944246489205617,0.9860917941585535,0.8294506258692629
0.15,predict_proba,0.6966272600834492,0.6966272600834492,0.6708737226413561,0.670873722641356,0.7862084348512406,0.6966272600834492,0.9763560500695411,0.4168984700973574,0.9463299131807419,0.4168984700973574,0.6260869565217392,0.9763560500695411,0.7797287899860917
0.2,predict_proba,0.7378303198887344,0.7378303198887344,0.724527791836129,0.724527791836129,0.7947675045851764,0.7378303198887344,0.9575799721835884,0.5180806675938804,0.924317617866005,0.5180806675938804,0.6652173913043479,0.9575799721835884,0.719749652294854
0.25,predict_proba,0.7545201668984701,0.75452016689847,0.7453766456981892,0.7453766456981891,0.7972116291953046,0.75452016689847,0.944019471488178,0.5650208623087621,0.9098544232922733,0.5650208623087621,0.6845688350983359,0.944019471488178,0.6894993045897079
0.3,predict_proba,0.7795549374130737,0.7795549374130737,0.7748441652095743,0.7748441652095744,0.8050874293060755,0.7795549374130737,0.9242002781641169,0.6349095966620306,0.8933463796477495,0.6349095966620306,0.7168284789644013,0.9242002781641169,0.6446453407510431
0.35,predict_proba,0.7905076495132128,0.7905076495132128,0.78740389649511,0.78740389649511,0.8085246158012138,0.7905076495132128,0.9113351877607788,0.6696801112656467,0.8830811554332875,0.6696801112656467,0.7339680761691403,0.9113351877607788,0.6208275382475661
0.39999999999999997,predict_proba,0.7971140472878998,0.7971140472878999,0.7953032588868607,0.7953032588868606,0.8080130271930435,0.7971140472878999,0.8911682892906815,0.7030598052851182,0.8659528907922912,0.7030598052851182,0.7500731635937957,0.8911682892906815,0.5940542420027817
0.44999999999999996,predict_proba,0.799721835883171,0.799721835883171,0.7985644683294397,0.7985644683294398,0.8067721945038411,0.799721835883171,0.8755215577190543,0.7239221140472879,0.8532786885245902,0.7239221140472879,0.7602657004830918,0.8755215577190543,0.5757997218358831
0.49999999999999994,predict_proba,0.8019819193324061,0.801981919332406,0.8016336908877209,0.8016336908877207,0.8041174096388843,0.801981919332406,0.8438803894297635,0.7600834492350487,0.8296015180265655,0.7600834492350487,0.7786333012512031,0.8438803894297635,0.5418984700973575
0.5499999999999999,predict_proba,0.8023296244784422,0.8023296244784422,0.8023043788603216,0.8023043788603215,0.8024841326836778,0.8023296244784422,0.8136300417246175,0.791029207232267,0.8093205265030239,0.791029207232267,0.7956477388643318,0.8136300417246175,0.5113004172461753
0.6,predict_proba,0.7981571627260083,0.7981571627260083,0.7981020894031677,0.7981020894031677,0.7984828410218835,0.7981571627260083,0.7816411682892906,0.814673157162726,0.7886233591383373,0.814673157162726,0.8083423229054297,0.7816411682892906,0.48348400556328236
0.65,predict_proba,0.7852920723226704,0.7852920723226704,0.7841794310090541,0.7841794310090541,0.7912991261241009,0.7852920723226704,0.713490959666203,0.8570931849791377,0.7494679233809669,0.8570931849791377,0.833130328867235,0.713490959666203,0.4281988873435327
0.7,predict_proba,0.7703407510431154,0.7703407510431155,0.7672673267320668,0.7672673267320668,0.7854174285256601,0.7703407510431155,0.6554242002781642,0.8852573018080667,0.7198190556969183,0.8852573018080667,0.8510158013544018,0.6554242002781642,0.38508344923504867
0.75,predict_proba,0.741481223922114,0.741481223922114,0.7327269762100741,0.7327269762100741,0.7778890868352093,0.741481223922114,0.5605006954102921,0.922461752433936,0.6773040592290018,0.922461752433936,0.8784741144414169,0.5605006954102921,0.31901947148817805
0.7999999999999999,predict_proba,0.7117524339360223,0.7117524339360223,0.6953672829201658,0.6953672829201658,0.7697986080944943,0.7117524339360223,0.47983310152990266,0.9436717663421419,0.6446555819477434,0.9436717663421419,0.8949416342412452,0.47983310152990266,0.2680806675938804
0.85,predict_proba,0.6682892906815021,0.6682892906815021,0.6356329402640486,0.6356329402640485,0.7623369515643528,0.6682892906815021,0.3689151599443672,0.967663421418637,0.6052631578947368,0.967663421418637,0.9194107452339688,0.3689151599443672,0.2006258692628651
0.9,predict_proba,0.6208275382475661,0.6208275382475661,0.5646025936542913,0.5646025936542912,0.7499220408078549,0.6208275382475661,0.2614742698191933,0.9801808066759388,0.5703014363746712,0.9801808066759388,0.9295426452410384,0.2614742698191933,0.14064673157162727
0.95,predict_proba,0.5406815020862309,0.5406815020862309,0.4208994663831116,0.4208994663831116,0.7356518572469046,0.5406815020862309,0.08588317107093185,0.9954798331015299,0.5213037144938092,0.9954798331015299,0.95,0.08588317107093185,0.045201668984700974
