attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.08042435056875785,0.0795654500320167,0.11537600137824111
flight_type,f1_macro,30,2,2,0.012099166942374007,0.012011308052295472,0.0874446552814675
gender,f1_macro,30,2,2,0.011850073793392646,0.011578463733420391,0.004779940884260037
nationality,f1_macro,30,2,2,0.022030111396293406,0.02254052966027842,0.01886304909560721
process,f1_macro,30,2,2,0.06292706276437277,0.05853994155880948,0.06940769488043674
trip_purpose,f1_macro,30,14,8,0.09485551768029121,0.09087097388984183,0.09309937959121539
