,precision,recall,f1-score,support
not_liked,0.8285822881033827,0.7579972183588317,0.7917196295623752,2876.0
liked,0.7769945530278757,0.8431849791376912,0.8087377021844255,2876.0
accuracy,0.8005910987482615,0.8005910987482615,0.8005910987482615,0.8005910987482615
macro avg,0.8027884205656293,0.8005910987482614,0.8002286658734004,5752.0
weighted avg,0.8027884205656292,0.8005910987482615,0.8002286658734002,5752.0
