test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8016336908877209,0.8016336908877207,0.8019819193324061,0.0
numeric_noise,0.01,0.8016041364278171,0.801604136427817,0.8019819193324061,2.9554459903713415e-05
numeric_noise,0.03,0.8017692262872329,0.8017692262872329,0.8021557719054242,-0.0001355353995120545
numeric_noise,0.05,0.8027834424043174,0.8027834424043174,0.8031988873435327,-0.0011497515165965755
numeric_noise,0.1,0.8016041364278171,0.801604136427817,0.8019819193324061,2.9554459903713415e-05
missing_values,0.01,0.8013193024213346,0.8013193024213348,0.8016342141863699,0.0003143884663862062
missing_values,0.03,0.7997819479278092,0.7997819479278092,0.8000695410292072,0.0018517429599116397
missing_values,0.05,0.7968610315335825,0.7968610315335825,0.7971140472878998,0.004772659354138398
categorical_replacement,0.01,0.8019820074972244,0.8019820074972243,0.8023296244784422,-0.0003483166095035184
categorical_replacement,0.03,0.8024899206624996,0.8024899206624995,0.8028511821974965,-0.0008562297747787273
categorical_replacement,0.05,0.8009134282332193,0.8009134282332192,0.8012865090403338,0.0007202626545015356
