attribute,metric,min_group_size,n_groups_total,n_groups_used,f1_gap,error_rate_gap,recall_positive_gap
age_group,f1_macro,30,7,7,0.08317034148382241,0.08142040164915545,0.08450340253251787
flight_type,f1_macro,30,2,2,0.014279387865149706,0.014517573716455873,0.08409573506822077
gender,f1_macro,30,2,2,0.009772210997239128,0.009798928748473518,0.02070791872359523
nationality,f1_macro,30,2,2,0.01918813555658816,0.018592422918585344,0.06306576644161044
process,f1_macro,30,2,2,0.06400488345385524,0.06025208289359235,0.03842690536456772
trip_purpose,f1_macro,30,14,8,0.12898682683740348,0.12957797830644427,0.11449016100178888
