,precision,recall,f1-score,support
not_liked,0.8362797847809378,0.7566063977746871,0.7944505293902884,2876.0
liked,0.7777777777777778,0.8518776077885952,0.813143046797212,2876.0
accuracy,0.8042420027816412,0.8042420027816412,0.8042420027816412,0.8042420027816412
macro avg,0.8070287812793577,0.8042420027816412,0.8037967880937502,5752.0
weighted avg,0.8070287812793578,0.8042420027816412,0.8037967880937502,5752.0
