mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.8334043502807618,0.011193861093896225,0.05978717803955078,0.0014405714562325672,14,10,100,"{'model__max_depth': 14, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100}",0.7979329662899642,0.7960977494446054,0.8076700154559505,0.7979134466769706,0.7997488408037094,0.7998726037342401,0.004066078246150697,53,0.7979292511850209,0.7960999027024478,0.8076700154559505,0.7979134466769706,0.7997488408037094,0.7998722913648197,0.004066033322880166,53,0.7976323902451277,0.7959970656306808,0.8072469220348266,0.7969637353810106,0.7995157199045453,0.7994711666392382,0.0040546774205947895,54,0.7976331435685483,0.7959966278749682,0.8072469220348266,0.7969637353810107,0.7995157199045453,0.7994712297527798,0.004054684128094197,54,0.7997053948684836,0.7966881603731994,0.810395288764381,0.8035937403954825,0.8011495341678903,0.8023064237138874,0.00462072612227535,44,0.7979292511850209,0.7960999027024478,0.8076700154559505,0.7979134466769706,0.7997488408037094,0.7998722913648197,0.004066033322880166,53
0.8123328208923339,0.008118853347493557,0.05974159240722656,0.0023222118902020234,14,10,200,"{'model__max_depth': 14, 'model__min_samples_leaf': 10, 'model__min_samples_split': 200}",0.8019897614218101,0.79725683376799,0.8080564142194745,0.7997488408037094,0.7994590417310664,0.8013021783888101,0.003695058743162378,16,0.8019853372976836,0.7972591363118108,0.8080564142194745,0.7997488408037094,0.7994590417310665,0.801301754072749,0.003694390517516384,17,0.8015720680368468,0.7971423011254808,0.8076129689325527,0.7989780954493438,0.7993363260213264,0.8009283519131101,0.003626863725746007,20,0.8015729473913414,0.797141835545633,0.8076129689325526,0.7989780954493438,0.7993363260213264,0.8009284346680395,0.0036269921673110573,20,0.8045442170378068,0.7979347224783331,0.810923080939635,0.8044175542203317,0.8001933738041357,0.8036025896960485,0.004447198962703114,10,0.8019853372976836,0.7972591363118108,0.8080564142194745,0.7997488408037094,0.7994590417310665,0.801301754072749,0.003694390517516384,17
0.8511296272277832,0.035063048369470315,0.06351094245910645,0.006082227756503047,14,10,300,"{'model__max_depth': 14, 'model__min_samples_leaf': 10, 'model__min_samples_split': 300}",0.8002511349367333,0.7992852313339128,0.8073802163833076,0.7982032457496137,0.8025502318392581,0.801534012048565,0.0032559975525618167,10,0.8002479609758893,0.799288364239761,0.8073802163833075,0.7982032457496135,0.8025502318392581,0.8015340038375658,0.0032558155158782603,10,0.8000341987221469,0.7990748576215507,0.8069078750434043,0.7974649818518733,0.8023637346237413,0.8011691295725433,0.0032788727997321372,11,0.8000348348987294,0.7990742296403196,0.8069078750434043,0.7974649818518732,0.8023637346237413,0.8011691312116136,0.0032789090038389717,11,0.8015527013053719,0.8005508591197167,0.8104175864206913,0.8026155220436273,0.8036965510337037,0.8037666439846222,0.0034873441045321046,8,0.8002479609758893,0.799288364239761,0.8073802163833075,0.7982032457496135,0.8025502318392581,0.8015340038375658,0.0032558155158782603,10
0.825251293182373,0.02999754190856517,0.061620235443115234,0.0015914053644351556,14,10,500,"{'model__max_depth': 14, 'model__min_samples_leaf': 10, 'model__min_samples_split': 500}",0.7978363759296823,0.7918477735921955,0.8070904173106646,0.7950154559505409,0.7995556414219475,0.7982691328410061,0.005127917910372679,67,0.7978349279403998,0.7918488072466524,0.8070904173106646,0.7950154559505409,0.7995556414219475,0.7982690499740409,0.005127683530209512,67,0.797790464755535,0.7918242727712943,0.8068529231898438,0.7947180876973443,0.7994916049361074,0.7981354706700248,0.005088454243930702,67,0.7977907590579334,0.7918240591274679,0.8068529231898438,0.7947180876973443,0.7994916049361076,0.7981354868017394,0.005088503251814609,67,0.7981039274955166,0.7919818524099254,0.8086082793085331,0.7967348382286357,0.7999388079666324,0.7990735410818486,0.005447231399439755,67,0.7978349279403998,0.7918488072466524,0.8070904173106646,0.7950154559505409,0.7995556414219475,0.7982690499740409,0.005127683530209512,67
0.8328466415405273,0.012992442026390832,0.06227121353149414,0.002977025472005267,14,20,100,"{'model__max_depth': 14, 'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.799575002414759,0.8001545445764513,0.8071870170015456,0.7990726429675425,0.7987828438948995,0.8009544101710396,0.0031510216289638315,32,0.7995709794451084,0.8001581159862058,0.8071870170015456,0.7990726429675425,0.7987828438948996,0.8009543198590604,0.0031511934489956406,32,0.7992254246657076,0.7998820987010444,0.8067887451525113,0.7981864054679043,0.7985012353741867,0.8005167818722707,0.0031906435533739326,38,0.7992262338734599,0.7998813854919467,0.8067887451525114,0.7981864054679042,0.7985012353741868,0.8005168010720018,0.003190606461354158,38,0.8016671013410017,0.8018059654078301,0.8097409281027272,0.8044199209889826,0.8004625128283415,0.8036192857337767,0.0033220443040267943,9,0.7995709794451084,0.8001581159862058,0.8071870170015456,0.7990726429675425,0.7987828438948996,0.8009543198590604,0.0031511934489956406,32
0.8326730728149414,0.02408466709824784,0.06388816833496094,0.0032675422071734676,14,20,200,"{'model__max_depth': 14, 'model__min_samples_leaf': 20, 'model__min_samples_split': 200}",0.8011204481792717,0.8001545445764513,0.8083462132921174,0.7994590417310664,0.7994590417310664,0.8017078579019946,0.003374609402478713,8,0.8011161080143149,0.8001581159862058,0.8083462132921175,0.7994590417310665,0.7994590417310665,0.8017077041509542,0.0033744326469424242,8,0.8007167002471303,0.7998820987010444,0.8078651334320839,0.7986603559342994,0.7992993560620494,0.8012847288753214,0.003359190098822794,9,0.8007175666590018,0.7998813854919467,0.8078651334320839,0.7986603559342994,0.7992993560620494,0.8012847595158762,0.0033592203946301736,9,0.8035709676892633,0.8018059654078301,0.8114656860105844,0.8042872998852456,0.8004151321634863,0.8043090102312819,0.003825982387258956,5,0.8011161080143149,0.8001581159862058,0.8083462132921175,0.7994590417310665,0.7994590417310665,0.8017077041509542,0.0033744326469424242,8
0.8126026630401612,0.014010230054957098,0.06314940452575683,0.003967870996277862,14,20,300,"{'model__max_depth': 14, 'model__min_samples_leaf': 20, 'model__min_samples_split': 300}",0.8009272674587076,0.801699990340964,0.8072836166924265,0.7982998454404946,0.803033230293663,0.8022487900452511,0.002953187851256413,1,0.800924084174474,0.801704177525191,0.8072836166924267,0.7982998454404946,0.8030332302936631,0.8022489908252499,0.002953318052678639,1,0.8007097942613756,0.8013279754557473,0.8067828697209906,0.7974766281304349,0.8028552969400531,0.8018305129017204,0.003034497887547357,3,0.8007104301479175,0.8013271450653786,0.8067828697209906,0.7974766281304346,0.802855296940053,0.801830474000955,0.003034478457286876,3,0.8022394884767461,0.8039861252115059,0.8105024443064255,0.8032301265593782,0.8041312072578912,0.8048178783623893,0.0029205023770647836,1,0.800924084174474,0.801704177525191,0.8072836166924267,0.7982998454404946,0.8030332302936631,0.8022489908252499,0.002953318052678639,1
0.7970458030700683,0.009723492642296697,0.06244382858276367,0.0034137464944699633,14,20,500,"{'model__max_depth': 14, 'model__min_samples_leaf': 20, 'model__min_samples_split': 500}",0.7971602434077079,0.7945523036800928,0.8071870170015456,0.7954984544049459,0.7973338485316847,0.7983463734051953,0.004540808251820987,66,0.7971586927854417,0.7945544009453298,0.8071870170015456,0.7954984544049459,0.7973338485316847,0.7983464827337895,0.004540538927931389,66,0.7971074515905302,0.7944560830410146,0.8069350183680248,0.7952032930174253,0.7972866261323848,0.798197694429876,0.0045016796886435916,66,0.7971077677091959,0.79445565348459,0.8069350183680248,0.7952032930174253,0.7972866261323848,0.7981976717423243,0.004501735788599873,66,0.7974664371425594,0.7951094626167177,0.8087992615689408,0.7972118700009202,0.797611164487261,0.7992396391632798,0.004865239188305655,64,0.7971586927854417,0.7945544009453298,0.8071870170015456,0.7954984544049459,0.7973338485316847,0.7983464827337895,0.004540538927931389,66
0.898347282409668,0.06506293570586712,0.07367606163024902,0.008949296509756784,14,30,100,"{'model__max_depth': 14, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.8019897614218101,0.801699990340964,0.8068006182380216,0.7975270479134466,0.8015842349304482,0.8019203305689381,0.002942260048386512,5,0.801985318638288,0.8017041402063998,0.8068006182380216,0.7975270479134466,0.8015842349304483,0.8019202719853208,0.002942178179754407,5,0.8015685357154477,0.801334601107926,0.8064183825343305,0.7966444227384792,0.8013872677993575,0.8014706419791082,0.0030921697985881826,5,0.8015694187882073,0.8013337781592028,0.8064183825343304,0.7966444227384792,0.8013872677993575,0.8014706540039155,0.00309218267819832,5,0.8045659996010404,0.8039452644299852,0.8092430762859143,0.8027837427635771,0.8027853414128696,0.8046646848986774,0.002389930858694949,2,0.801985318638288,0.8017041402063998,0.8068006182380216,0.7975270479134466,0.8015842349304483,0.8019202719853208,0.002942178179754407,5
0.8220870018005371,0.003973511049496299,0.06702642440795899,0.00426467730756354,14,30,200,"{'model__max_depth': 14, 'model__min_samples_leaf': 30, 'model__min_samples_split': 200}",0.8035352071863228,0.7982227373708104,0.8072836166924265,0.7976236476043277,0.8001352395672334,0.8013600896842241,0.0036089761741755705,14,0.8035304845262857,0.798226607312871,0.8072836166924267,0.7976236476043277,0.8001352395672334,0.8013599191406289,0.0036077348804761317,14,0.8030629147434021,0.7978995640472919,0.8067790518030737,0.7967336309245562,0.7999130065810995,0.8008776336198847,0.0036489547052196794,22,0.8030638462866818,0.7978987834353993,0.8067790518030736,0.7967336309245561,0.7999130065810995,0.8008776638061621,0.003649193732243767,22,0.8064645260423947,0.8001510985698725,0.8105271803715683,0.8029292390160518,0.8014746090377866,0.8043093306075347,0.003756000956028945,4,0.8035304845262857,0.798226607312871,0.8072836166924267,0.7976236476043277,0.8001352395672334,0.8013599191406289,0.0036077348804761317,14
