train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.7839032473072093,0.0046281078125695535,0.7793978700955767,0.0067077004310586085
8281,0.7917243150371757,0.002979990072051958,0.7829104073047282,0.00420068996019059
12422,0.7946478385613172,0.00221484371742853,0.7859998745327523,0.005659482498774438
16563,0.7998823751336452,0.0032219411877912264,0.7919130315439276,0.004587275072649694
20704,0.8030307518402573,0.0031745380007133614,0.7939910143953253,0.00439573330082319
24845,0.8035830076392111,0.000913532766576994,0.795976878957607,0.0035437996059944424
28986,0.8061560895445667,0.001075395558710244,0.7991889254042412,0.0037857478334100995
33127,0.8063953817461922,0.0010946420419892416,0.8007435787684225,0.004824879025101227
37268,0.8074838023416213,0.001307433811587395,0.8018595361731904,0.0051738326907163025
41409,0.8079235851271658,0.0014645285563304074,0.8018613442955769,0.003579480749004665
