threshold,score_source,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,sensitivity,specificity,precision_not_liked,recall_not_liked,precision_liked,recall_liked,pred_positive_rate
0.05,predict_proba,0.6394297635605007,0.6394297635605006,0.5875505602563195,0.5875505602563195,0.7806177270975352,0.6394297635605006,0.9940890125173852,0.28477051460361613,0.9796650717703349,0.28477051460361613,0.5815703824247356,0.9940890125173852,0.8546592489568846
0.1,predict_proba,0.7094923504867872,0.7094923504867872,0.6856862978817752,0.6856862978817752,0.8005452965204847,0.7094923504867872,0.9847009735744089,0.4342837273991655,0.9659706109822119,0.4342837273991655,0.6351199820587575,0.9847009735744089,0.7752086230876217
0.15,predict_proba,0.7449582753824756,0.7449582753824757,0.731517141658528,0.731517141658528,0.8062947628022162,0.7449582753824757,0.9687065368567455,0.5212100139082059,0.9433606041535557,0.5212100139082059,0.6692289214508768,0.9687065368567455,0.7237482614742698
0.2,predict_proba,0.7656467315716272,0.7656467315716273,0.7566495894140367,0.7566495894140368,0.8117509016563236,0.7656467315716273,0.9579276773296245,0.5733657858136301,0.9316384180790961,0.5733657858136301,0.691863385233551,0.9579276773296245,0.6922809457579973
0.25,predict_proba,0.7814673157162726,0.7814673157162726,0.7753523134744262,0.7753523134744261,0.8158585087728224,0.7814673157162726,0.9464534075104312,0.616481223922114,0.9200830306175403,0.616481223922114,0.7116339869281045,0.9464534075104312,0.6649860917941586
0.3,predict_proba,0.7958970792767733,0.7958970792767733,0.7917885192201437,0.7917885192201437,0.8212538091427828,0.7958970792767733,0.9363699582753825,0.6554242002781642,0.9115087040618955,0.6554242002781642,0.7309989142236699,0.9363699582753825,0.6404728789986092
0.35,predict_proba,0.8033727399165508,0.8033727399165508,0.8006764090494306,0.8006764090494307,0.8207271644332081,0.8033727399165508,0.9196801112656467,0.6870653685674548,0.8953330312641595,0.6870653685674548,0.7461212976022567,0.9196801112656467,0.616307371349096
0.39999999999999997,predict_proba,0.8125869262865091,0.8125869262865091,0.8108064467900608,0.8108064467900608,0.8248140831948494,0.8125869262865091,0.9095966620305981,0.7155771905424201,0.8878343399482312,0.7155771905424201,0.7617938264414676,0.9095966620305981,0.597009735744089
0.44999999999999996,predict_proba,0.8151947148817803,0.8151947148817802,0.8139895078158998,0.8139895078158998,0.8235809525795372,0.8151947148817802,0.8956884561891516,0.7347009735744089,0.8756734355573974,0.7347009735744089,0.7714884696016772,0.8956884561891516,0.5804937413073713
0.49999999999999994,predict_proba,0.8218011126564673,0.8218011126564673,0.8213117947338715,0.8213117947338714,0.8253650173730485,0.8218011126564673,0.8741307371349096,0.769471488178025,0.8594174757281553,0.769471488178025,0.7913125590179415,0.8741307371349096,0.5523296244784422
0.5499999999999999,predict_proba,0.8202364394993046,0.8202364394993046,0.8201682582992269,0.8201682582992268,0.8207228334466665,0.8202364394993046,0.8397079276773296,0.8007649513212796,0.8332127351664255,0.8007649513212796,0.8082329317269076,0.8397079276773296,0.519471488178025
0.6,predict_proba,0.8106745479833102,0.8106745479833102,0.8105879355767813,0.8105879355767813,0.8112438375450735,0.8106745479833102,0.7892906815020863,0.8320584144645341,0.7979326442147382,0.8320584144645341,0.8245550308754086,0.7892906815020863,0.4786161335187761
0.65,predict_proba,0.8018080667593881,0.8018080667593881,0.8010286715242283,0.8010286715242282,0.806612218267857,0.8018080667593881,0.739221140472879,0.8643949930458971,0.7682323856613102,0.8643949930458971,0.8449920508744038,0.739221140472879,0.437413073713491
0.7,predict_proba,0.7906815020862309,0.7906815020862309,0.788590867907756,0.788590867907756,0.8026533094869812,0.7906815020862309,0.6912378303198887,0.8901251738525731,0.7424593967517401,0.8901251738525731,0.8628472222222222,0.6912378303198887,0.40055632823365783
0.75,predict_proba,0.7665159944367177,0.7665159944367177,0.7614404459473152,0.7614404459473152,0.79130718319435,0.7665159944367177,0.6206536856745479,0.9123783031988874,0.7063257065948856,0.9123783031988874,0.8762886597938144,0.6206536856745479,0.35413769123783034
0.7999999999999999,predict_proba,0.7374826147426982,0.7374826147426983,0.7262329245449183,0.7262329245449184,0.7841954796276523,0.7374826147426983,0.5347705146036161,0.9401947148817803,0.6689757545769421,0.9401947148817803,0.8994152046783626,0.5347705146036161,0.2972878998609179
0.85,predict_proba,0.6936717663421419,0.6936717663421419,0.6695523411549854,0.6695523411549854,0.7735324752495535,0.6936717663421419,0.4235048678720445,0.9638386648122392,0.6257336343115124,0.9638386648122392,0.9213313161875946,0.4235048678720445,0.22983310152990263
0.9,predict_proba,0.6380389429763561,0.6380389429763561,0.5882600487170516,0.5882600487170516,0.7673077715471548,0.6380389429763561,0.29033379694019473,0.9857440890125174,0.5814191960623462,0.9857440890125174,0.9531963470319634,0.29033379694019473,0.15229485396383866
0.95,predict_proba,0.5747566063977747,0.5747566063977747,0.4823738280429677,0.4823738280429677,0.7612914730595197,0.5747566063977747,0.15229485396383866,0.9972183588317107,0.5405201658499812,0.9972183588317107,0.9820627802690582,0.15229485396383866,0.07753824756606398
