,precision,recall,f1-score,support
not_liked,0.8594174757281553,0.769471488178025,0.8119611080535681,2876.0
liked,0.7913125590179415,0.8741307371349096,0.8306624814141749,2876.0
accuracy,0.8218011126564673,0.8218011126564673,0.8218011126564673,0.8218011126564673
macro avg,0.8253650173730485,0.8218011126564673,0.8213117947338715,5752.0
weighted avg,0.8253650173730483,0.8218011126564673,0.8213117947338714,5752.0
