metric,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,n_bootstrap_requested,n_bootstrap_used,n_bootstrap_skipped
accuracy,0.8218011126564673,0.8214156815020863,0.005202950520526654,0.8117133171070932,0.8320584144645341,0.95,1000,1000,0
balanced_accuracy,0.8218011126564673,0.8216434802848321,0.004869210990839985,0.81178726668315,0.8311922270676032,0.95,1000,1000,0
f1_weighted,0.8213117947338714,0.8212306363766096,0.005109185818117991,0.8113647958659285,0.8313320225841898,0.95,1000,1000,0
f1_macro,0.8213117947338715,0.8213396826128209,0.005004674286757339,0.8117453034845582,0.83149871817719,0.95,1000,1000,0
precision_weighted,0.8253650173730483,0.8255378654132068,0.00494903005185213,0.8164873185639073,0.8355583292461557,0.95,1000,1000,0
recall_weighted,0.8218011126564673,0.8216828929068152,0.005103991486056747,0.8118871696801113,0.8318845618915159,0.95,1000,1000,0
sensitivity,0.8741307371349096,0.8742153196530473,0.006110495568864665,0.8621503798847548,0.8860823033384774,0.95,1000,1000,0
specificity,0.769471488178025,0.7697218558173445,0.007950146939684426,0.7543375515466815,0.7853955744024875,0.95,1000,1000,0
