false_positive_rate,true_positive_rate,threshold,score_source
0.0,0.0,inf,predict_proba
0.0,0.0003477051460361613,0.9927845,predict_proba
0.0,0.04554937413073713,0.9736675,predict_proba
0.0003477051460361613,0.04554937413073713,0.9736667,predict_proba
0.0003477051460361613,0.06015299026425591,0.97016317,predict_proba
0.0006954102920723226,0.06015299026425591,0.97014904,predict_proba
0.0006954102920723226,0.07162726008344923,0.9678008,predict_proba
0.001043115438108484,0.07162726008344923,0.9677972,predict_proba
0.001043115438108484,0.1025730180806676,0.9620087,predict_proba
0.0013908205841446453,0.1025730180806676,0.9618866,predict_proba
0.0013908205841446453,0.12378303198887343,0.95625657,predict_proba
0.0017385257301808068,0.12378303198887343,0.9562235,predict_proba
0.0017385257301808068,0.12691237830319888,0.9552799,predict_proba
0.002086230876216968,0.12691237830319888,0.9552129,predict_proba
0.002086230876216968,0.1331710709318498,0.9541321,predict_proba
0.0024339360222531293,0.1331710709318498,0.9540378,predict_proba
0.0024339360222531293,0.1502086230876217,0.9507377,predict_proba
0.0027816411682892906,0.1502086230876217,0.95066315,predict_proba
0.0027816411682892906,0.15820584144645342,0.94814277,predict_proba
0.003129346314325452,0.15820584144645342,0.9480037,predict_proba
0.003129346314325452,0.15855354659248957,0.9476397,predict_proba
0.0034770514603616135,0.15855354659248957,0.94757503,predict_proba
0.0034770514603616135,0.16620305980528513,0.94506407,predict_proba
0.0038247566063977748,0.16620305980528513,0.9450184,predict_proba
0.0038247566063977748,0.16689847009735745,0.94486874,predict_proba
0.004172461752433936,0.16689847009735745,0.94477457,predict_proba
0.004172461752433936,0.1835883171070932,0.93982047,predict_proba
0.004520166898470098,0.1835883171070932,0.9397691,predict_proba
0.004520166898470098,0.18915159944367177,0.9374518,predict_proba
0.004867872044506259,0.18915159944367177,0.937419,predict_proba
0.004867872044506259,0.19541029207232266,0.9350715,predict_proba
0.00521557719054242,0.19541029207232266,0.93486136,predict_proba
0.00521557719054242,0.20166898470097358,0.93277967,predict_proba
0.005910987482614743,0.20166898470097358,0.93268543,predict_proba
